run,period,comp,cube,aeq,pct,corr,n
drv_exp_wlk,EA,BOARDS,1.8029,1.8099,0.3876,0.9789,54010
drv_exp_wlk,EA,FARE,562.0861,536.5049,-4.5511,0.8741,54010
drv_exp_wlk,EA,KEYIVT,49.7116,49.2256,-0.9776,0.9791,54010
drv_exp_wlk,EA,DTIM,8.8611,9.2335,4.2024,0.9978,54010
drv_exp_wlk,EA,DDIST,5.6294,5.6509,0.3815,0.9955,54010
drv_exp_wlk,AM,TOTIVT,59.6057,59.3793,-0.3798,0.9878,279571
drv_exp_wlk,AM,IWAIT,21.6227,19.3649,-10.4420,0.9109,279571
drv_exp_wlk,AM,XWAIT,13.9484,13.8894,-0.4228,0.9236,260653
drv_exp_wlk,AM,WAUX,2.2741,2.7805,22.2714,0.7689,155434
drv_exp_wlk,AM,BOARDS,2.3448,2.3455,0.0276,0.9838,279571
drv_exp_wlk,AM,FARE,486.7975,473.9989,-2.6291,0.9308,279571
drv_exp_wlk,AM,KEYIVT,35.4030,34.5156,-2.5064,0.9757,279571
drv_exp_wlk,AM,DTIM,10.0601,10.0426,-0.1743,0.9934,279571
drv_exp_wlk,AM,DDIST,6.7404,6.7281,-0.1831,0.9886,279571
drv_exp_wlk,MD,TOTIVT,58.4239,57.7135,-1.2160,0.9921,221671
drv_exp_wlk,MD,IWAIT,22.3140,20.9233,-6.2321,0.8403,221671
drv_exp_wlk,MD,XWAIT,14.6887,14.3212,-2.5020,0.9104,209169
drv_exp_wlk,MD,WAUX,2.2873,2.8299,23.7188,0.7937,122278
drv_exp_wlk,MD,BOARDS,2.3629,2.3664,0.1472,0.9888,221671
drv_exp_wlk,MD,FARE,475.6263,471.9314,-0.7769,0.9493,221671
drv_exp_wlk,MD,KEYIVT,33.6410,32.2703,-4.0744,0.9864,221671
drv_exp_wlk,MD,DTIM,10.0618,10.1155,0.5340,0.9979,221671
drv_exp_wlk,MD,DDIST,6.7143,6.7220,0.1147,0.9961,221671
drv_exp_wlk,PM,TOTIVT,60.5871,60.4694,-0.1943,0.9834,293904
drv_exp_wlk,PM,IWAIT,16.7647,15.2924,-8.7818,0.8654,293904
drv_exp_wlk,PM,XWAIT,15.4713,14.8763,-3.8461,0.9055,274467
drv_exp_wlk,PM,WAUX,2.2197,2.5708,15.8172,0.8059,156053
drv_exp_wlk,PM,BOARDS,2.3334,2.3406,0.3061,0.9821,293904
drv_exp_wlk,PM,FARE,469.6654,470.8261,0.2471,0.9284,293904
drv_exp_wlk,PM,KEYIVT,36.1242,35.5840,-1.4952,0.9739,293904
drv_exp_wlk,PM,DTIM,10.2326,10.0904,-1.3890,0.9962,293904
drv_exp_wlk,PM,DDIST,6.7718,6.7506,-0.3125,0.9947,293904
drv_exp_wlk,EV,TOTIVT,61.5013,60.4982,-1.6309,0.9840,204385
drv_exp_wlk,EV,IWAIT,22.1233,22.4475,1.4655,0.9095,204385
drv_exp_wlk,EV,XWAIT,14.6900,13.8149,-5.9571,0.8988,192924
drv_exp_wlk,EV,WAUX,2.4349,2.7304,12.1355,0.8889,128070
drv_exp_wlk,EV,BOARDS,2.3533,2.3583,0.2130,0.9803,204385
drv_exp_wlk,EV,FARE,528.8483,514.1336,-2.7824,0.9127,204385
drv_exp_wlk,EV,KEYIVT,39.9523,38.9178,-2.5894,0.9659,204385
drv_exp_wlk,EV,DTIM,9.4823,9.7918,3.2641,0.9966,204385
drv_exp_wlk,EV,DDIST,6.2434,6.2629,0.3110,0.9943,204385
drv_hvy_wlk,EA,TOTIVT,46.9676,46.8955,-0.1535,0.9848,674996
drv_hvy_wlk,EA,IWAIT,18.9700,20.8217,9.7614,0.7821,674996
drv_hvy_wlk,EA,XWAIT,24.0461,24.8961,3.5345,0.8544,452100
drv_hvy_wlk,EA,WAUX,3.5206,3.7229,5.7474,0.7426,674996
drv_hvy_wlk,EA,BOARDS,1.6733,1.6738,0.0294,0.9884,674996
drv_hvy_wlk,EA,FARE,384.8497,392.6186,2.0187,0.8952,674996
drv_hvy_wlk,EA,KEYIVT,38.3116,37.8300,-1.2570,0.9862,674996
drv_hvy_wlk,EA,DTIM,10.9887,11.3588,3.3687,0.9967,674996
drv_hvy_wlk,EA,DDIST,7.9257,7.9580,0.4073,0.9982,674996
drv_hvy_wlk,AM,TOTIVT,57.2456,57.0306,-0.3755,0.9942,1199797
drv_hvy_wlk,AM,IWAIT,6.4401,7.3525,14.1674,0.6960,1199797
drv_hvy_wlk,AM,XWAIT,12.3724,12.2924,-0.6465,0.9539,972384
drv_hvy_wlk,AM,WAUX,3.5995,3.5447,-1.5239,0.9361,1199797
drv_hvy_wlk,AM,BOARDS,2.0134,2.0112,-0.1108,0.9961,1199797
drv_hvy_wlk,AM,FARE,428.5059,443.9683,3.6084,0.9144,1199797
drv_hvy_wlk,AM,KEYIVT,41.3733,41.4544,0.1960,0.9953,1199797
drv_hvy_wlk,AM,DTIM,11.2804,11.2694,-0.0976,0.9988,1199797
drv_hvy_wlk,AM,DDIST,7.9155,7.9020,-0.1707,0.9993,1199797
drv_hvy_wlk,MD,TOTIVT,57.0971,56.7772,-0.5602,0.9941,1181107
drv_hvy_wlk,MD,IWAIT,6.5985,7.5546,14.4904,0.7277,1181107
drv_hvy_wlk,MD,XWAIT,12.6260,12.5516,-0.5894,0.9411,954075
drv_hvy_wlk,MD,WAUX,3.5512,3.5126,-1.0893,0.9282,1181107
