A,B,Parallel_Corridor
2535,2536,EastBay_Outer80_PM
2535,2619,EastBay_InnerBBApproach80580880_AM
2536,2493,EastBay_Outer80_PM
2536,2535,EastBay_Outer80_AM
2537,2466,EastBay_Outer80_PM
2537,2532,EastBay_Outer80_AM
2552,2521,EastBay_Outer80_AM
2553,2525,EastBay_InnerBBApproach80580880_PM
2557,2792,EastBay_InnerBBApproach80580880_PM
2557,2797,EastBay_InnerBBApproach80580880_AM
2563,2568,EastBay_InnerBBApproach80580880_AM
2568,2563,EastBay_InnerBBApproach80580880_PM
2576,2524,EastBay_InnerBBApproach80580880_PM
2576,2639,EastBay_InnerBBApproach80580880_AM
2600,2604,EastBay_Outer80_AM
2604,2600,EastBay_Outer80_PM
2604,2606,EastBay_InnerBBApproach80580880_AM
2606,2604,EastBay_InnerBBApproach80580880_PM
2606,2608,EastBay_InnerBBApproach80580880_AM
2608,2606,EastBay_InnerBBApproach80580880_PM
2617,2624,EastBay_InnerBBApproach80580880_PM
2617,2662,EastBay_InnerBBApproach80580880_AM
2618,12062,EastBay_InnerBBApproach80580880_PM
2618,12069,EastBay_InnerBBApproach80580880_AM
2619,2535,EastBay_InnerBBApproach80580880_PM
2619,12062,EastBay_InnerBBApproach80580880_AM
2620,2534,EastBay_InnerBBApproach80580880_PM
2620,2624,EastBay_InnerBBApproach80580880_AM
2624,2617,EastBay_InnerBBApproach80580880_AM
2624,2620,EastBay_InnerBBApproach80580880_PM
2639,2576,EastBay_InnerBBApproach80580880_PM
2639,2640,EastBay_InnerBBApproach80580880_AM
2640,2639,EastBay_InnerBBApproach80580880_PM
2640,2768,EastBay_InnerBBApproach80580880_PM
2641,2638,EastBay_InnerBBApproach80580880_AM
2641,2642,EastBay_InnerBBApproach80580880_AM
2641,2643,EastBay_InnerBBApproach80580880_PM
2642,2641,EastBay_InnerBBApproach80580880_PM
2642,2643,EastBay_InnerBBApproach80580880_PM
2642,2657,EastBay_InnerBBApproach80580880_AM
