"ZONE","county","A_ESRI_NEW","A_LODES_NEW","A_LODES_SELF_NEW","A_NETS_NEW","A_NETS_NOSOLE_NEW","F_ESRI_NEW","F_LODES_NEW","F_LODES_SELF_NEW","F_NETS_NEW","F_NETS_NOSOLE_NEW","H_ESRI_NEW","H_LODES_NEW","H_LODES_SELF_NEW","H_NETS_NEW","H_NETS_NOSOLE_NEW","M_ESRI_NEW","M_LODES_NEW","M_LODES_SELF_NEW","M_NETS_NEW","M_NETS_NOSOLE_NEW","O_ESRI_NEW","O_LODES_NEW","O_LODES_SELF_NEW","O_NETS_NEW","O_NETS_NOSOLE_NEW","R_ESRI_NEW","R_LODES_NEW","R_LODES_SELF_NEW","R_NETS_NEW","R_NETS_NOSOLE_NEW","T_ESRI_NEW","T_LODES_NEW","T_LODES_SELF_NEW","T_NETS_NEW","T_NETS_NOSOLE_NEW"
952,"Alameda",5,0,1.90283468602538,3.02889975418048,2.26861987738901,805.229084212177,2657.27383735421,2772.17310699015,1120.87878198279,1058.30351524637,1122.57600452268,1350.89838913977,1555.41762299856,893.480475619679,872.535654490425,1101.12427003205,1935.92141696317,2042.1445011939,1760.38214008536,1747.55565183211,481.97507765341,991.04543064795,1067.4836734835,650.765537556623,638.772613276502,834.762260980777,26.7201357250658,80.0805278753259,75.4509879305018,67.6964272441714,4350.66669740109,6961.85920983017,7519.20226722745,4503.98682292914,4387.13248196697
953,"Alameda",0,0,1.68237507927261,3.02889975418048,2.26861987738901,253.017024071449,484.192011673999,585.779222208769,531.810885304391,444.429381059545,616.681490694118,246.491950000847,427.315888518944,702.020373701177,680.165588933481,10.0185003890426,8.13465187291427,102.050886985555,214.994478486416,209.15626699093,49.4094373609879,11.9147195449801,79.4969408458343,132.261626189711,120.667690064227,157.302021433372,51.9280057546938,99.1061419496601,144.216445284883,135.392854488343,1086.42847394897,802.661338847435,1295.43145558803,1728.33270872076,1592.08040141391
954,"Alameda",0,0,1.13993440517437,0.605779950836096,0,187.598173741188,155.545412504707,224.37831299224,283.373683410369,246.905211699747,867.667916159451,1018.70513472604,1141.22681929892,1471.78816808121,1460.44213035068,100.185003890426,115.431953405777,179.067196775901,207.644239905684,204.569506749901,254.505215085843,3.7571486984751,49.549136578051,112.134856986929,103.42944862648,780.719848709189,776.696951413176,808.663652111035,752.59972771184,744.660699685886,2190.6761575861,2070.13660074818,2404.02505216132,2828.14645604687,2760.00699711269
955,"Alameda",0,0,1.14217807798614,1.21155990167219,1.13430993869451,179.901838408216,80.1278064870021,149.096187144865,213.500720377675,194.61940216333,1225.51965559245,2127.47832326445,2250.24116081182,1162.50646498209,1121.8315557734,18.2154552528048,57.6054810447399,121.365974310623,55.1267893554914,53.2064187959384,583.590712980725,136.763091697639,182.645209533585,2112.35234871104,2106.89617572459,221.959907544022,426.774728534664,458.804347604767,258.825540875519,247.902409626543,2229.18756977821,2828.7494310285,3163.29505748365,3803.52342420349,3725.5902720225
956,"Alameda",0,1.38054348196376,2.34078691325013,0,0,199.142676740646,35.9548766151144,93.9374589896073,222.234840756762,183.00033337746,451.971648982494,397.552591900667,500.760848680366,453.613164545376,431.851167576814,50.0925019452131,6.38238992110567,59.9866360664129,22.0507157421965,19.2643930123225,197.637749443951,36.7696027673352,75.3432745218795,122.677450378863,109.175529105729,105.189695314341,111.656043974845,138.583746328316,70.6756089475586,67.6964272441714,1004.03427242664,589.696048661031,870.952751499831,891.251780370755,810.987850316496
957,"Alameda",0,0,0.814719955940369,0.605779950836096,0,45.2159700812095,38.9998265787673,88.1952341372153,146.539130804677,121.031966519484,656.878535397551,265.479518468269,353.046716198114,284.735536186491,279.721778998618,4.55386381320119,0,45.4806017253525,15.6192569840559,12.8429286748817,49.4094373609879,16.8478100505838,49.5756987592005,60.3803076083464,58.4184848723637,1.93008615255671,0,22.8468487887554,21.0116675249499,17.1624745126068,757.987892805506,321.32715509762,559.959819564578,528.891679059357,489.177633577954
958,"Alameda",0,0,0.877840585861599,1.21155990167219,1.13430993869451,73.1151856632323,34.6145813487179,87.6214152649956,255.230406633312,233.349631449565,307.850537484822,196.755196953286,291.10668496698,338.737103394274,328.795775314165,11.8400459143231,6.83120780155552,55.8354303848105,27.5633946777457,19.2643930123225,27.9676060533894,81.9504798874176,117.213969861497,246.31331833881,242.293060208328,25.0911199832372,20.2041996300976,44.8211136747075,24.8319707113044,20.0228869313746,445.864495099004,340.355665621074,597.476454738852,893.887753657118,844.86005685445
959,"Alameda",0,0,1.51080830775805,0,0,100.052359328634,38.4181535072034,129.64561136057,241.643997154732,205.270215217045,363.734233779838,278.793103556728,441.176814490433,431.030690985757,396.51789022962,24.5908645912864,9.89358023452246,94.2323403538673,42.26387183921,41.2808421692625,42.883662615197,4.2936293928627,64.9838896422117,226.186549136028,209.731937492585,93.6091783990004,50.0697987691318,92.436760207192,103.148186031572,87.7193141755461,624.870298713955,381.468265460448,823.986224362032,1044.2732951473,940.520199284057
960,"Alameda",0,0,0.715037496291388,0,0,709.024892550029,1529.75223079261,1572.92849128942,1652.68966728718,1590.8441679321,800.019231170748,909.219549781834,986.072742545145,1896.92777900793,1877.57109903283,177.600688714846,581.027618117936,620.943585991813,999.632446979577,993.492268206918,303.914652446831,457.829178096201,486.552750448251,656.516043043132,648.34941407525,409.178264342023,156.07586295047,176.127358482089,445.065321210301,435.736158458963,2399.73772922448,3633.90443973905,3843.339966253,5650.83125752813,5545.99310770605
961,"Alameda",0,0,0.124449140709823,0.605779950836096,0,200.104718657267,856.604260444071,864.11889925079,254.259948813413,235.286142913877,279.418481475077,729.129668037811,742.505629228387,261.171215950368,257.147740693466,69.2187299606581,669.940496425723,676.887695598171,304.116121277794,299.056767715102,28.8998595885023,18.4509147459422,23.4501265577272,95.8417581084864,92.8949677478571,526.913519647982,81.7978058274145,85.2876806966339,12.4159853556522,11.4416496750712,1104.55530932949,2355.92314548096,2392.37448047242,928.41080945655,895.827268745373
