TAZ1454,emp_sec11,emp_sec21,emp_sec22,emp_sec23,emp_sec3133,emp_sec42,emp_sec4445,emp_sec4849,emp_sec51,emp_sec52,emp_sec53,emp_sec54,emp_sec55,emp_sec56,emp_sec61,emp_sec62,emp_sec71,emp_sec72,emp_sec81,emp_sec92,TOTEMP
304,11,0,0,38,0,5,7,2,4,6,4,22,0,17,82,179,14,0,6,11,408
305,0,0,0,12,2,0,9,0,0,0,6,5,0,4,40,22,0,3,11,0,114
306,0,0,25,27,2,2,6,0,5,0,2,10,0,5,0,73,6,7,20,0,190
307,0,0,0,16,3,11,35,1,0,3,5,34,0,15,116,30,2,6,18,0,295
308,0,0,3,216,14,44,54,81,115,25,80,114,0,51,92,87,19,3,48,3,1049
309,5,0,0,139,97,77,766,1171,120,186,358,390,0,93,192,442,50,904,645,1271,6906
310,1,20,575,1346,2098,877,2346,158,500,669,214,1238,4,973,147,1071,206,313,655,1352,14763
311,0,0,0,142,1873,247,1709,46,9701,591,213,6426,0,321,168,574,268,535,642,73,23529
312,0,0,56,11,1712,0,12,0,56,2,32,109,5,15,91,57,9,30,6,11,2214
313,0,0,0,1017,385,425,1049,62,1219,97,75,598,0,344,42,582,105,109,49,245,6403
314,1,0,16,1209,825,120,852,324,68,259,58,341,0,275,177,220,20,161,174,231,5331
315,10,3,0,660,383,168,2189,190,281,627,325,1001,0,295,227,2635,236,1472,594,3518,14814
316,0,0,0,96,19,12,21,7,4,11,34,355,0,17,60,275,0,5,13,33,962
317,0,0,0,41,3,19,47,5,10,13,48,18,0,21,358,252,12,122,193,4,1166
318,0,0,0,6,16,0,56,6,2,103,57,25,0,19,62,47,12,74,62,0,547
319,0,0,0,32,4,2,3,3,0,0,1,17,0,22,95,11,2,0,22,0,214
320,0,0,0,81,18,12,63,21,12,33,28,37,2,13,69,44,9,49,63,68,622
321,2,0,0,42,6,12,204,2,4,37,20,108,0,18,44,72,6,61,60,0,698
322,0,0,0,27,6,9,73,16,10,52,11,96,2,10,190,76,6,53,29,0,666
323,0,0,0,45,9,18,485,11,20,4,37,29,0,40,4,87,2,119,186,0,1096
324,0,0,0,21,10,22,188,6,2,40,27,28,0,36,7,78,4,167,129,0,765
325,0,0,0,28,2,0,28,15,1,12,3,9,0,4,47,181,4,28,14,0,376
326,0,0,0,100,5,28,312,5,0,7,14,31,0,32,10,43,7,212,75,37,918
327,0,0,0,49,17,20,182,0,10,31,32,48,0,53,11,154,1,237,88,5,938
328,0,0,0,77,36,34,131,7,14,35,7,33,0,51,209,51,4,56,97,32,874
329,0,0,0,464,934,170,337,29,21,9,36,260,0,93,90,202,64,44,212,174,3139
330,0,0,5,46,53,5,49,10,0,6,5,256,0,13,115,4,3,43,27,0,640
331,0,0,0,259,1063,165,515,198,1200,232,49,1909,0,173,89,272,38,231,71,29,6493
332,0,21,6,104,1009,457,99,114,32,47,90,402,0,482,339,138,0,96,194,205,3835
333,0,0,0,67,6,29,749,11,21,13,25,18,0,16,284,216,3,118,149,31,1756
334,0,0,5,59,0,4,79,123,11,12,34,28,0,5,523,96,13,36,48,5,1081
335,0,0,2,28,0,20,24,9,17,183,170,659,11,110,36,152,1,404,47,1,1874
336,0,0,0,43,44,0,106,1,15,57,28,113,0,22,145,127,140,12,24,161,1038
337,0,0,0,1,0,5,9,12,6,10,0,13,0,9,96,781,0,21,22,28,1013
338,0,0,0,4,4,0,11,2,0,1,0,33,0,11,0,14,454,0,125,0,659
339,0,0,0,19,0,7,2,1,10,10,0,22,3,16,285,18,10,0,14,119,536
340,0,0,5,71,34,17,260,2,414,511,110,1817,0,66,93,280,88,235,277,8499,12779
341,0,0,0,253,90,29,1179,98,43,340,451,667,0,231,153,814,24,986,546,7,5911
342,6,0,32,46,7,1,46,3,3,15,43,46,4,15,642,125,15,21,102,0,1172
343,0,0,0,35,0,4,29,0,11,7,0,25,0,4,109,17,0,6,24,0,271
344,0,0,0,9,0,6,11,0,6,7,0,26,0,7,81,10,4,12,1,0,180
345,0,0,5,52,3,16,96,68,0,36,68,52,0,16,7,61,9,83,67,0,639
346,52,0,0,37,43,13,134,4,67,1917,142,2727,6,514,104,76,105,544,185,13,6683
347,60,0,0,31,73,110,100,1,26,11,21,136,0,100,180,502,23,6,243,0,1623
348,0,0,0,0,0,104,334,0,526,0,0,318,0,24,313,19,0,16,0,0,1654
349,0,0,0,692,3723,27,2141,24,60,749,119,4304,522,89,26,4034,54,220,120,0,16904
350,0,0,0,6,63,0,15,6,32,118,66,220,0,0,103,55,1,266,3,0,954
351,0,0,0,72,66,37,745,10,208,195,62,580,0,122,308,417,32,703,316,52,3925
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,0,0,3,0,70
353,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,94,0,21,3,0,122
354,0,0,0,6,0,22,186,22,1037,27,52,54,0,52,1965,166,100,107,281,63,4140
355,0,0,0,70,375,16,3968,34,153,66,110,275,0,65,4130,5372,91,2024,475,0,17224
356,2,3,13,602,179,67,1459,115,438,1232,849,1908,32,319,207,1741,77,1983,839,1888,13953
357,0,0,0,34,23,8,74,17,20,40,8,59,0,9,137,148,31,0,40,47,695
358,0,0,0,141,20,10,92,18,25,15,5,471,0,64,156,63,46,10,34,59,1229
359,0,0,0,27,0,7,18,3,11,15,20,41,0,17,109,53,0,22,33,0,376
360,0,0,0,2,2,10,55,17,5,47,10,21,0,0,119,78,0,19,59,0,444
361,0,0,0,34,6,26,140,19,5,18,31,80,0,14,143,64,48,99,104,0,831
362,3,0,0,84,2124,27,207,17,18,9,324,337,0,29,327,463,69,26,71,5,4140
363,0,0,0,6,2,0,30,6,1,0,47,16,0,5,241,294,2,17,108,0,775
364,0,0,0,7,4,14,74,0,6,6,3,4,0,0,57,136,10,66,59,7,453
365,0,0,0,55,39,14,402,3,21,111,65,13,0,0,28,51,0,150,215,56,1223
366,0,0,0,327,2219,30,412,16,94,41,101,135,0,132,50,390,185,286,235,0,4653
367,0,0,0,5,8,25,75,0,11,0,60,50,0,2,625,38,9,257,45,3,1213
368,1,0,9,96,1,11,68,16,11,30,39,57,0,44,123,56,3,0,163,44,772
369,0,0,0,19,14,8,1026,0,17,68,77,267,0,24,136,208,0,404,73,0,2341
370,0,0,0,166,13,135,702,22,76,438,687,601,0,220,60,153,88,540,437,201,4539
371,0,0,0,54,109,83,363,3,22,115,41,242,0,61,308,176,5,267,51,10,1910
372,0,0,0,101,31,6,1023,3,38,104,120,186,0,20,63,196,125,391,103,0,2510
373,0,0,0,5,0,6,319,6,3,6,6,9,0,4,92,24,5,45,17,0,547
374,0,0,0,817,364,454,1118,159,147,27,162,634,0,278,109,129,44,346,545,0,5333
375,0,0,0,14,1,0,1,5,3,0,38,1,0,0,0,42,0,0,15,0,120
376,8,0,0,194,193,416,266,48,38,79,108,142,146,115,765,47,20,38,141,10,2774
377,0,3,0,197,26,70,122,32,60,79,76,316,1,85,233,213,6,133,71,110,1833
378,0,0,5,121,59,54,535,78,316,183,85,1207,3,182,38,434,43,1145,216,778,5482
379,0,0,0,15,9,3,126,13,327,17,29,59,0,18,100,53,0,49,25,0,843
380,0,0,0,9,3,0,67,9,0,1,49,6,0,2,19,64,89,92,10,1,421
381,0,0,0,112,4,24,332,331,53,183,76,136,0,199,146,192,8,318,141,8377,10632
382,0,0,0,5,2,0,24,0,2,20,3,62,0,14,144,59,11,40,11,0,397
383,0,0,0,7,15,2,188,57,3,26,10,33,0,8,240,2908,0,59,112,0,3668
384,0,0,0,3,5,7,169,3,5,0,10,41,2,15,166,47,31,39,44,0,587
385,0,0,0,18,0,2,8,0,0,2,5,16,0,3,52,17,162,0,68,0,353
386,0,0,0,3,0,3,6,0,0,3,9,16,0,7,49,28,2,0,7,0,133
387,0,0,0,87,1,17,245,3,15,15,29,63,2,25,52,63,4,38,95,0,754
388,0,0,5,69,16,25,60,38,10,41,30,144,0,33,354,700,10,52,38,0,1625
389,0,0,0,5,48,13,380,8,10,32,27,104,0,8,72,830,0,185,71,3,1796
390,0,0,0,16,21,4,264,17,1,20,20,33,0,3,37,74,0,94,86,0,690
391,0,0,0,15,16,6,170,20,3,26,60,38,0,5,15,181,3,115,50,0,723
392,0,0,0,2,0,6,77,17,1,2,50,7,0,2,0,13,0,44,29,0,250
393,0,0,0,6,194,20,278,4,1,16,34,25,0,26,143,102,25,110,119,0,1103
394,0,0,0,79,61,17,118,103,4,79,48,47,3,4,101,86,24,241,263,1289,2567
395,0,0,0,169,681,25,1159,0,125,6,63,181,0,344,0,44,64,244,46,20,3171
396,0,0,0,24,1099,260,390,7,54,27,25,339,0,14,10,725,21,131,84,0,3210
397,2,0,0,75,454,736,433,0,139,2,37,264,0,26,0,44,235,0,24,104,2575
398,0,0,0,57,51,34,197,4,0,0,144,178,0,23,116,52,37,30,193,0,1116
399,0,0,0,34,373,168,750,4,1603,162,76,691,0,507,16,133,4,0,36,0,4557
400,0,0,0,17,13,3,23,5,0,0,18,45,0,8,49,47,3,73,15,0,319
401,0,0,0,167,267,322,722,373,7540,527,119,1450,3,324,271,416,238,252,129,726,13846
402,0,0,0,10,44,5,3,2,4,0,3,51,0,0,17,6,54,0,1,5,205
403,0,0,54,450,4926,558,617,31,648,716,193,1845,0,295,79,347,6,238,173,0,11176
404,3,0,0,85,8967,440,162,15,2181,150,51,763,0,2399,129,91,100,64,29,310,15939
405,0,0,8,7,183,184,2036,0,30,29,15,234,0,6,0,237,0,756,215,0,3940
406,0,0,0,241,5601,817,1371,4,2212,107,96,1279,0,27,27,214,2,856,87,0,12941
407,2,7,0,1783,5603,1708,1476,599,235,237,246,1292,8,729,40,174,860,254,651,264,16168
408,0,0,0,169,2204,1144,1310,84,587,846,65,1136,8,790,2,98,73,356,708,606,10186
409,8,0,0,229,11464,448,580,136,995,71,185,3195,17,182,83,258,20,1,495,106,18473
410,0,0,0,52,4582,115,679,1107,747,25,106,132,26,1,3,120,0,148,21,1313,9177
411,0,0,16,0,0,0,0,313,0,0,0,19,0,0,0,0,0,0,0,0,348
412,0,0,0,387,15834,920,723,5,1194,48,371,1305,8,221,184,42,9,528,113,2,21894
413,0,0,0,29,47,6,149,0,130,32,404,781,0,5,59,54,14,390,31,27,2158
414,0,2,0,2072,3203,950,1016,536,89,40,226,782,0,572,85,387,42,323,477,17,10819
415,4,4,6,131,13765,588,2130,24,2923,169,274,3856,0,333,564,223,2794,1379,551,37,29755
416,0,0,0,69,513,76,577,45,205,53,206,690,4,38,68,85,64,686,39,23,3441
417,0,0,0,334,434,344,737,0,416,627,15,998,731,0,79,26,0,59,13,0,4813
418,0,0,54,437,1327,341,776,1,57,8,42,554,0,17,0,124,20,247,93,0,4098
419,1,0,0,11,0,0,42,16,1,0,11,28,0,9,42,81,16,133,0,0,391
420,0,0,0,16,0,0,38,528,52,0,8,10,0,11,51,44,16,45,27,0,846
421,0,0,0,96,14,15,92,52,33,9,70,91,0,33,0,47,6,61,27,0,646
422,0,0,0,72,321,225,135,34,30,8,160,317,0,26,0,19,33,276,30,3,1689
423,0,0,0,26,5,0,61,6,4,9,13,5,0,7,53,6,0,69,10,0,274
424,0,0,0,107,100,30,52,61,88,14,44,111,0,79,127,101,34,274,99,10,1331
425,0,0,0,1,1,1,85,1,0,0,28,3,0,28,84,75,0,60,17,0,384
426,0,0,0,27,1219,0,243,6,5,2,30,56,0,2,1,50,17,19,102,21,1800
427,2,0,30,231,10296,1031,1211,17,731,138,57,887,0,182,422,343,207,130,138,38,16091
428,0,0,0,144,2114,833,2401,54,636,324,252,2164,4,207,44,270,52,705,88,23,10315
429,0,0,0,411,10428,756,394,0,55,76,0,656,0,255,8,46,177,364,75,0,13701
430,0,0,6,179,4559,886,981,67,238,53,186,3334,78,143,83,100,42,93,274,0,11302
431,0,0,710,254,325,541,277,54,180,26,43,718,0,84,44,134,11,30,44,0,3475
432,0,0,21,1669,3102,1420,1372,592,445,32,194,997,0,586,63,248,63,110,488,187,11589
433,0,0,55,165,6,101,63,15,63,55,22,62,0,55,69,111,32,113,108,1514,2609
434,0,0,0,414,1207,24,472,767,280,15,356,95,0,91,1,14,213,326,47,124,4446
435,0,0,313,472,2617,601,2759,235,604,866,613,2254,213,1056,179,452,465,1559,206,108,15572
436,0,0,0,3,7,25,160,0,21,26,7,18,0,9,158,538,1,142,36,0,1151
437,3,0,0,9,7,0,309,16,3,7,27,6,0,25,11,43,14,210,48,0,738
438,0,0,0,17,0,27,192,5,41,17,15,32,0,6,253,50,25,194,68,42,984
439,0,0,0,21,6,5,75,4,106,47,11,9,0,126,59,131,294,275,120,0,1289
440,0,0,0,18,31,0,136,6,64,4,46,54,0,9,129,122,1,138,45,0,803
441,0,0,0,45,17,19,124,47,38,53,103,497,0,3,243,59,3,207,97,6,1561
442,0,0,0,20,0,0,121,0,4,10,27,13,0,5,16,21,7,49,62,0,355
443,0,0,0,13,0,9,6,1,0,0,16,4,0,4,197,23,3,0,76,0,352
444,0,0,0,21,52,6,89,16,5,14,39,52,0,21,203,111,10,335,167,0,1141
445,0,0,0,54,0,15,367,17,86,42,91,29,0,23,1,3,8,429,21,0,1186
446,0,0,6,33,87,96,90,50,166,0,33,69,0,51,0,18,11,65,71,96,942
447,0,0,0,4,5,3,144,5,0,4,25,10,0,8,55,68,21,85,47,0,484
448,0,0,0,20,22,6,493,18,30,90,468,78,0,13,122,112,92,413,139,21,2137
449,2,0,0,1,18,13,1140,5,8,15,114,24,0,22,40,381,50,233,103,0,2169
450,0,0,0,217,193,27,766,15,272,220,138,526,0,98,120,303,85,452,156,41,3629
451,0,3,0,15,4,5,530,2,30,28,31,11,0,7,63,46,6,419,96,0,1296
452,0,0,0,5,5,2,76,9,14,24,0,93,0,2,348,481,16,49,42,5,1171
453,0,0,4,30,30,3,279,7,21,21,34,28,4,5,228,303,8,118,169,3,1295
454,0,0,0,20,14,6,26,0,10,14,18,63,0,2,220,371,7,10,22,0,803
455,0,0,0,3,11,3,92,6,5,37,9,20,0,0,189,169,6,66,33,5,654
456,0,0,0,159,1,32,268,39,80,18,72,87,0,78,53,64,5,209,64,0,1229
457,0,0,0,13,0,9,29,317,15,16,83,13,0,6,79,39,85,29,30,0,763
458,0,0,0,5,0,4,16,21,2,2,3,22,0,10,154,7,7,31,2,0,286
459,4,0,0,48,10,23,79,320,4,27,31,37,0,7,193,146,16,295,100,0,1340
460,0,0,6,33,844,14,986,0,15,71,122,69,0,14,21,283,0,323,23,0,2824
461,21,0,0,26,1,0,48,3,0,19,34,33,0,11,100,912,19,59,28,0,1314
462,0,0,0,102,18,47,805,18,50,111,36,165,0,55,110,133,0,242,157,0,2049
463,0,0,0,10,2,5,350,4,8,20,26,97,0,20,20,120,2,68,71,0,823
464,0,0,0,45,0,0,136,2,3,20,41,20,0,0,20,28,47,108,33,0,503
465,0,0,0,33,46,29,749,30,30,122,186,126,0,33,235,405,53,197,233,22,2529
466,0,0,0,112,106,56,5439,5,49,134,51,84,0,34,88,101,75,619,167,0,7120
467,1,0,0,134,99,67,1050,23,230,436,510,690,0,72,165,503,66,1360,453,27,5886
468,0,0,0,111,13,50,304,34,18,73,93,56,0,299,164,416,19,284,67,22,2023
469,0,0,0,161,3,20,74,0,19,63,45,87,0,26,68,363,19,87,44,0,1079
470,0,0,0,48,10,4,161,1,55,96,154,179,0,83,144,228,15,55,92,0,1325
471,0,0,0,33,61,19,652,8,108,63,59,38,0,24,442,199,0,280,95,17,2098
472,0,0,0,43,18,18,144,7,45,148,129,160,0,170,147,509,7,110,75,1,1731
473,0,0,0,47,10,9,48,7,9,86,32,23,0,74,90,56,8,104,43,28,674
474,1,0,0,48,2,1,47,2,1,4,15,15,0,11,66,18,6,106,52,0,395
475,0,0,0,26,14,40,1208,2,32,66,57,84,0,214,160,80,6,428,156,0,2573
476,0,0,0,90,13,19,449,5,40,103,74,123,2,266,327,409,19,216,75,64,2294
477,0,0,0,33,14,4,151,8,16,9,18,34,0,13,292,106,8,286,90,0,1082
478,0,0,0,13,40,4,1550,21,5,278,133,76,0,19,13,36,4,110,34,2,2338
479,0,0,0,49,3,21,254,10,6,118,65,113,0,15,350,80,54,67,108,0,1313
480,0,0,0,56,11,10,87,8,38,18,30,39,0,33,207,30,3,0,13,4,587
481,0,0,0,8,3,5,119,10,3,16,4,34,0,240,144,22,14,2,16,0,640
482,0,0,0,13,6,7,8,3,4,5,2,42,0,11,71,27,0,0,11,13,223
483,0,0,0,60,41,22,483,2,33,100,42,160,0,33,269,196,14,273,124,0,1852
484,0,0,0,80,111,33,388,10,60,197,266,1016,4,52,107,364,51,398,79,189,3405
485,10,0,263,92,4636,41,627,15,233,266,240,243,0,114,276,395,71,1156,184,0,8862
486,3,0,0,107,26,23,619,13,75,46,213,95,0,33,107,255,39,367,94,34,2149
487,0,0,0,17,25,18,83,3,40,53,80,13,0,16,74,36,70,323,99,0,950
488,0,84,0,18,7,11,76,27,6,9,18,61,0,26,44,380,27,23,48,0,865
489,2,0,0,4,0,7,16,5,5,16,3,25,3,5,323,21,24,0,4,1,464
490,0,0,8,172,55,340,227,27,51,64,200,418,3,60,1493,158,33,194,137,57,3697
491,0,0,0,0,9,2,46,0,0,26,4,20,0,5,59,40,0,48,127,0,386
492,0,0,0,3,9,18,140,0,20,24,102,69,0,0,46,77,10,52,37,89,696
493,0,0,0,28,9,20,32,0,4,73,227,63,0,8,114,164,4,43,98,0,887
494,3,0,0,93,29,21,131,11,5,50,271,95,0,68,226,70,25,47,56,28,1229
495,5,0,0,28,124,11,33,0,14,14,7,45,0,159,92,8,54,0,5,0,599
496,4,0,0,57,25,27,269,1,8,102,46,106,0,30,88,134,56,240,188,0,1381
497,0,0,0,36,28,17,30,4,34,19,17,101,0,67,324,161,10,37,94,110,1089
498,0,0,0,39,9,17,189,4,22,50,181,94,0,20,54,423,6,149,184,3,1444
499,0,0,0,69,13,10,485,1,87,99,32,56,0,27,190,328,161,325,150,0,2033
500,0,0,0,4,3,0,9,0,0,2,9,11,0,0,106,2,0,3,22,0,171
501,0,0,0,17,2,5,178,0,0,18,4,9,0,13,19,49,1,8,16,0,339
502,0,0,0,48,0,2,266,3,2,32,19,33,0,7,109,108,8,38,126,14,815
503,0,0,4,351,55,98,337,99,22,133,214,118,0,258,240,1318,52,168,251,14,3732
504,6,0,7,1630,1015,543,1542,204,378,332,224,1087,0,341,185,776,76,536,651,558,10091
505,0,0,0,50,13,3,62,7,13,27,33,30,0,27,30,20,0,38,37,0,390
506,0,0,0,53,20,8,9,0,2,32,25,373,0,41,138,1519,1,59,68,5,2353
507,0,0,0,9,5,11,102,1,0,16,18,27,0,15,81,6,218,24,143,7,683
508,0,0,0,43,211,27,171,4,1292,218,67,312,0,165,75,140,21,6,180,68,3000
509,0,0,0,80,126,63,263,24,44,171,490,370,0,43,53,247,131,79,265,5,2454
510,0,0,0,17,0,0,13,1,3,1,11,21,0,9,69,13,3,40,52,22,275
511,0,0,8,266,199,86,1290,149,81,219,518,983,0,158,400,842,162,1515,663,436,7975
512,42,0,6,93,0,15,73,3,25,15,7,61,0,55,57,11,21,21,39,52,596
513,6,8,0,16,8,0,11,0,5,0,83,27,0,4,24,10,0,4,27,0,233
514,3,0,0,48,15,10,249,4,5,98,38,61,0,17,192,270,11,68,119,0,1208
515,0,0,0,68,5,14,76,0,4,25,33,44,0,34,262,48,99,9,38,0,759
516,0,0,0,47,2,4,5,0,4,0,5,23,0,27,181,30,2,1,6,0,337
517,0,0,0,71,0,2,219,0,7,26,4,57,0,25,125,1800,2,15,73,0,2426
518,3,0,0,156,37,72,644,4,22,173,141,208,0,122,49,939,57,493,444,7,3571
519,0,0,0,113,987,30,141,139,2,70,135,397,0,123,201,1267,11,61,549,0,4226
520,0,0,0,114,7,16,160,56,33,62,38,54,0,50,81,93,20,77,126,136,1123
521,0,0,0,305,59,75,604,4,53,73,91,147,0,43,127,136,0,456,133,17,2323
522,0,0,0,59,2,2,98,0,14,80,70,43,0,10,119,125,46,197,116,13,994
523,0,0,0,85,1,1,677,195,13,76,21,56,0,21,127,83,137,139,44,0,1676
524,0,0,0,36,0,7,15,2,8,4,13,22,0,24,9,18,3,73,17,7,258
525,0,0,0,38,1,5,30,3,0,2,21,22,0,7,157,157,3,7,43,0,496
526,0,0,0,251,48,52,64,6,13,29,246,87,5,104,326,229,14,32,110,0,1616
527,0,0,0,93,55,19,266,6,65,115,196,186,0,93,276,112,25,492,229,0,2228
528,2,0,7,47,27,4,156,6,10,164,193,144,0,54,53,133,15,125,123,5,1268
529,0,0,0,91,53,59,329,4,8,18,99,148,0,39,48,107,5,101,70,0,1179
530,0,0,3,593,370,154,1503,59,314,694,479,1246,0,465,81,389,27,899,401,0,7677
531,0,0,0,62,15,42,81,10,36,141,270,10660,0,92,122,345,8,154,59,0,12097
532,0,0,0,27,7,8,130,8,5,48,72,61,0,20,6,313,0,44,30,0,779
533,0,0,3,20,34,64,133,5,81,510,298,174,0,85,1080,698,31,227,251,145,3839
534,2,0,0,261,39,77,97,39,23,218,50,384,0,107,127,6846,10,75,400,657,9412
535,2,0,0,41,55,52,327,22,7,44,21,95,0,41,2,623,50,90,209,4,1685
536,3,0,0,73,21,16,375,13,0,32,87,22,0,8,5,101,21,45,43,10,875
537,0,0,0,413,569,230,434,253,88,208,126,126,0,666,101,1034,40,202,205,0,4695
538,0,0,0,36,36,14,311,248,120,30,210,67,2,56,19,49,19,54,135,0,1406
539,6,0,259,663,330,507,762,236,36,33,27,106,0,102,24,137,4389,540,282,60,8499
540,0,0,9,57,91,41,120,6,33,115,248,938,0,139,558,536,26,297,153,182,3549
541,1,0,0,240,74,33,172,29,26,48,53,166,0,42,288,2333,16,116,153,34,3824
542,0,0,0,242,6,178,154,0,34,81,64,477,0,169,389,342,9,39,174,10,2368
543,0,0,0,371,52,39,310,18,139,80,100,330,0,75,1276,479,64,301,68,191,3893
544,0,0,0,75,16,29,172,19,2,22,46,64,0,45,146,156,5,319,143,10,1269
545,13,0,0,26,14,88,93,18,19,65,119,69,0,37,129,341,14,212,150,31,1438
546,0,0,4,702,66,61,171,76,107,562,129,496,42,202,154,208,57,157,258,7921,11373
547,0,0,0,685,283,266,733,33,27,60,201,109,0,539,9,29,2,158,199,76,3409
548,0,0,0,44,4,45,111,28,11,33,39,108,0,25,156,122,25,216,130,0,1097
549,0,0,0,493,210,104,500,68,213,193,202,1186,0,281,214,542,148,176,705,32,5267
550,0,0,0,19,0,3,53,0,2,4,131,31,0,20,18,213,8,51,46,0,599
551,0,0,0,272,265,16,360,1,66,29,15,37,0,36,252,93,110,170,142,16,1880
552,0,0,0,35,23,2,4,17,0,0,8,4,0,17,0,0,0,2,10,0,122
553,0,0,0,25,18,4,16,0,0,8,6,2,0,19,156,16,13,22,36,0,341
554,0,0,0,3,4,20,56,13,19,18,29,93,0,8,5,185,4,102,133,13,705
555,0,0,0,123,26,40,106,2,20,2,34,30,0,36,51,312,24,121,151,0,1078
556,0,0,0,0,0,2,25,4,0,0,4,11,0,0,3469,150,215,38,23,41,3982
557,0,8,2,411,505,57,434,25,1096,88,106,787,10,1170,111,220,189,1280,437,3531,10467
558,21,0,3,532,426,209,1237,110,3395,2012,1147,4694,317,539,77,366,433,5235,464,1256,22473
559,0,0,0,46,17,11,71,0,2,19,80,47,0,25,125,84,19,86,93,3,728
560,0,0,0,84,13,121,75,0,156,14,15,1867,0,53,135,52,2148,667,59,372,5831
561,0,0,0,131,190,247,247,25,19,61,18,44,0,20,13,61,7,132,123,22,1360
562,0,0,0,65,23,15,99,24,2,11,44,29,0,42,6,43,1,72,62,0,538
563,3,1,0,1956,1591,1880,3327,1379,157,150,472,689,0,634,170,720,337,1049,931,439,15885
564,0,0,0,26,4,42,668,7,6,4,61,5,0,10,514,34,44,281,196,0,1902
565,0,0,0,355,109,78,372,3,8,46,72,104,0,80,14,74,13,180,115,0,1623
566,0,0,0,47,55,90,250,16,8,4,18,218,0,256,1,700,5,83,210,209,2170
567,3,0,0,159,351,116,131,33,6,9,145,46,0,134,69,22,104,47,93,21,1489
568,0,0,0,94,51,16,64,103,1,2,13,27,0,19,68,7,0,139,40,31,675
569,0,0,0,9,3,0,14,11,3,6,0,0,0,8,74,63,0,53,19,0,263
570,3,0,0,47,14,7,31,5,4,5,11,9,0,15,57,16,3,79,23,5,334
571,0,0,0,18,3,3,11,3,0,4,2,5,0,4,54,10,18,3,25,0,163
572,0,0,0,32,4,0,7,0,0,0,3,13,0,5,432,7,0,1,16,0,520
573,0,0,0,11,0,0,44,2,0,3,21,17,0,8,27,8,1,100,17,0,259
574,1,0,0,9,4,3,34,5,0,5,10,8,0,29,7,55,0,94,52,53,369
575,0,0,31,15,4,7,78,2,5,5,148,32,0,10,115,23,61,106,2,0,644
576,0,0,0,34,40,17,41,6,75,8,63,46,0,27,9,80,6,6,46,0,504
577,0,0,0,29,3,1,4,3,1,7,0,4,0,21,195,18,14,8,29,0,337
578,0,0,0,25,15,8,150,6,23,23,71,30,0,18,238,79,19,261,76,0,1042
579,0,0,0,259,163,3,401,235,109,28,14,15,0,46,8,68,273,208,34,3,1867
580,0,16,0,155,160,187,81,16,11,10,34,21,0,24,60,33,0,85,11,0,904
581,0,0,0,20,1,0,63,8,0,4,20,68,0,30,117,47,0,25,17,47,467
582,0,0,0,26,21,15,573,6,62,94,115,89,0,81,95,423,10,529,142,0,2281
583,0,0,0,27,68,19,2306,13,162,316,96,49,0,56,148,156,3,1062,262,0,4743
584,0,0,0,10,19,41,45,62,14,24,57,10,0,21,159,50,0,55,56,0,623
585,0,0,0,9,87,6,131,3,11,33,13,8,0,22,61,69,9,60,48,0,570
586,0,0,0,15,5,0,259,6,28,32,5,8,0,24,365,22,3,102,41,0,915
587,0,0,0,3,7,0,25,0,3,10,38,5,0,4,144,17,2,22,15,0,295
588,0,0,0,9,7,0,60,0,2,7,18,51,0,13,68,38,0,99,14,0,386
589,0,0,0,9,3,3,83,21,14,16,30,11,0,22,60,93,3,118,44,0,530
590,0,0,0,18,0,4,134,2,3,14,16,8,0,11,112,44,0,92,14,0,472
591,6,0,0,146,25,27,81,7,7,71,61,42,0,65,247,2058,10,91,124,17,3085
592,0,0,0,9,6,7,87,94,4,11,16,38,0,7,4,21,23,23,42,10,402
593,0,0,4,642,91,272,168,468,6,23,59,107,0,157,117,31,0,66,91,56,2358
594,0,5,0,14,42,5,51,4,0,34,20,15,0,34,0,77,0,30,23,0,354
595,0,3,0,11,10,0,153,0,2,0,41,5,0,13,3,1073,8,87,48,56,1513
596,0,0,2,33,4,6,116,4,7,8,5,19,0,3,459,7,15,133,8,33,862
597,2,0,0,135,222,39,67,86,0,0,41,7,0,67,162,51,4,43,14,10,950
598,0,0,0,25,5,23,354,52,9,20,34,30,0,15,21,29,6,155,74,0,852
599,0,0,0,5,0,2,18,5,1,0,5,21,0,10,4,20,0,0,5,0,96
600,0,0,0,34,1,0,32,21,2,6,1,10,0,17,69,21,3,13,8,0,238
601,0,0,0,70,16,40,98,22,23,93,76,197,0,602,24,129,11,25,59,0,1485
602,0,8,10,2133,466,801,218,102,25,0,24,143,3,573,6,400,51,60,110,5,5138
603,0,26,0,733,565,348,407,85,844,20,16,17,0,444,66,96,16,261,138,1297,5379
604,0,0,0,502,1689,41,71,10,26,27,6,19,0,87,660,177,13,120,67,0,3515
605,3,0,30,1658,3561,2668,3010,2315,583,182,2339,1563,4,546,170,460,54,535,569,144,20394
606,0,0,5,130,468,251,196,119,56,18,157,165,0,47,69,156,10,133,254,3,2237
607,0,0,0,120,107,34,2338,195,66,88,69,189,0,38,249,281,17,1503,182,242,5718
608,10,0,8,819,9648,1171,1062,246,147,194,153,482,0,336,57,896,123,140,205,0,15697
609,0,0,0,221,92,57,377,23,41,131,75,404,0,53,36,102,47,748,80,950,3437
