"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
939,1889,3365,1000,546,262,81,158,978,705,48,1669,220,390,619,419,461,169,162,1797,869,368,17,0,0,17
940,2198,3996,1191,685,192,130,249,1141,761,47,1942,256,543,684,538,433,160,272,1870,1024,670,34,0,0,34
941,2750,5384,1302,932,208,308,180,1547,945,78,2319,431,823,942,641,344,334,374,3119,998,559,47,0,0,47
942,2721,4664,1551,861,186,123,401,1312,967,41,2509,212,765,935,676,345,108,307,2354,981,914,19,0,0,19
943,2503,5306,926,904,382,291,279,968,1024,232,2110,393,676,785,587,455,224,420,2794,1240,628,12,0,0,12
944,2448,4366,1276,818,240,114,343,1349,661,95,2123,325,1052,653,407,336,246,273,2161,987,699,1,0,0,1
945,3539,5793,2103,1046,258,132,582,2084,809,64,3251,288,1501,1079,509,450,146,319,2672,1298,1358,61,39,0,22
946,2207,4790,961,656,293,297,336,1208,595,68,1748,459,880,548,449,330,32,621,2299,1174,664,47,0,0,47
947,1378,3127,473,515,133,257,288,615,390,85,1171,207,743,321,139,175,52,248,1459,801,567,6,0,0,6
948,1665,4315,436,614,245,370,202,732,593,138,1255,410,557,487,266,355,177,637,1590,1332,579,104,0,76,28
949,1441,3640,361,472,260,348,238,409,671,123,929,512,241,315,287,598,243,680,914,1024,779,0,0,0,0
950,1982,4853,543,652,409,378,212,830,829,111,1342,640,483,506,404,589,238,816,1710,1381,708,0,0,0,0
951,2680,6508,807,937,365,571,429,960,1031,260,1933,747,713,629,488,850,456,938,2007,2004,1103,0,0,0,0
952,2513,7012,403,867,450,793,305,894,1093,221,1457,1056,296,567,741,909,437,1378,2125,2112,960,0,0,0,0
953,2603,7447,448,845,449,861,364,653,1197,389,1640,963,374,431,725,1073,360,1410,1799,2530,1348,2,0,0,2
954,1861,4214,651,642,239,329,216,765,719,161,1396,465,521,586,352,402,396,431,1630,1007,750,7,0,0,7
955,1350,2751,582,515,46,207,188,735,373,54,1063,287,453,470,305,122,156,355,1203,712,325,0,0,0,0
956,2111,5050,665,886,182,378,258,711,926,216,1651,460,383,651,594,483,230,568,1923,1707,622,79,0,0,79
957,1486,3181,585,480,204,217,243,822,395,26,1111,375,434,437,338,277,232,442,1094,777,636,5,0,0,5
958,1540,3187,546,639,190,165,211,857,411,61,1194,346,310,522,406,302,147,368,1108,839,725,8,0,0,8
959,2039,5250,667,682,295,395,276,923,618,222,1488,551,457,578,529,475,244,716,1660,1804,826,0,0,0,0
960,1800,5064,390,546,410,454,231,705,681,183,1147,653,359,519,373,549,360,729,1849,1473,653,28,0,0,28
961,1080,3576,262,299,131,388,150,280,529,121,724,356,407,218,92,363,354,575,1542,665,440,406,0,386,20
962,1863,5703,327,527,470,539,250,790,667,156,1084,779,787,589,323,164,412,1131,2573,1142,445,5,0,4,0
963,2254,5079,687,890,427,250,196,930,990,138,1619,635,446,728,671,409,284,601,1994,1515,685,9,0,0,9
964,319,1070,57,44,191,27,76,141,41,61,139,180,183,59,34,43,0,248,518,292,12,205,0,195,10
