TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
478,2758,1087,980,580,0,76,35
479,2045,11,937,879,0,178,40
480,371,18,33,301,0,17,2
481,533,85,67,366,0,3,12
482,181,10,45,98,0,6,22
483,1254,152,501,489,0,10,102
484,3665,213,1524,1308,0,267,353
485,2814,378,866,1309,0,201,60
486,1658,543,496,545,0,64,10
487,891,83,135,629,0,11,33
488,915,6,228,600,0,42,39
489,475,10,99,347,0,5,14
490,4047,323,1113,1859,0,513,239
491,594,264,65,253,0,6,6
492,994,202,385,299,0,31,77
493,726,9,255,419,0,5,38
494,1150,51,455,561,0,48,35
495,558,6,128,286,20,76,42
496,1487,17,299,998,0,31,142
497,2157,24,173,1738,45,58,119
498,1206,169,224,721,0,20,72
499,1500,358,155,923,0,27,37
500,268,3,22,189,0,10,44
501,219,38,2,141,0,0,38
502,839,339,79,399,0,9,13
503,1835,167,178,1404,4,21,61
504,9378,687,1924,2602,0,1759,2406
505,317,20,25,206,0,6,60
506,2026,39,280,1253,0,425,29
507,672,78,151,399,1,16,27
508,5720,3,3361,497,0,1299,560
509,2113,200,718,675,0,187,333
510,290,0,49,179,3,39,20
511,5607,376,868,3214,16,292,841
512,417,1,121,178,4,31,82
513,328,5,73,220,4,5,21
514,1441,240,201,843,1,22,134
515,554,18,73,377,0,29,57
516,225,1,38,175,0,5,6
517,1143,146,55,789,0,33,120
518,3560,599,541,2241,0,69,110
519,7177,66,448,4676,0,1867,120
520,959,76,240,532,0,40,71
521,3049,298,337,1714,0,208,492
522,1042,65,163,554,0,9,251
523,1422,708,165,447,0,24,78
524,283,9,155,58,0,15,46
525,765,17,110,568,0,45,25
526,789,26,106,589,8,12,48
527,1598,155,532,814,0,16,81
528,1536,121,427,808,19,38,123
529,1117,269,204,501,3,46,94
530,9426,1073,4243,2390,0,458,1262
531,5202,3095,966,1079,0,32,30
532,874,119,88,610,0,22,35
533,8359,59,530,7723,0,5,42
534,1431,101,396,500,0,366,68
535,1435,223,221,929,0,43,19
536,733,153,76,426,0,20,58
537,3606,366,822,1096,7,860,455
538,883,49,477,243,72,8,34
539,5598,703,954,2376,0,507,1058
540,4050,191,1134,2328,34,230,133
541,2072,198,194,1582,0,49,49
542,2489,3,634,1143,5,68,636
543,4893,133,687,3089,30,91,863
