ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,ZERO,hhlds,gqpop
69,2,2,1,2710,5465,8070,3879,531,1993,532,335,495,1338,208.0,97.0632354196952,67.58965192129622,0.12942659105229995,7798,282,1578,3968,1003,850,249,302,7151,1,43,52,0.0,12.998273723178713,2,522,7670,2894,3.49157,1,0,2710,2605
70,2,2,1,3152,5876,5882,3947,736,2257,437,605,679,1431,182.0,82.0,35.32716743458599,0.17495333446461903,2469,216,591,2617,1514,784,412,673,1036,3,56,289,0.0,40.69024817690727,1,0,0,0,5.04619,1,0,3152,6
71,2,2,1,2013,4088,4111,2000,639,1370,562,162,381,906,145.0,73.45148313629076,18.01995653725409,0.27049595141700405,2963,84,657,1204,925,973,172,770,1730,19,116,156,157.1095693497253,35.03882481900349,2,0,0,0,3.18377,1,0,2013,23
72,2,2,1,1086,2089,2117,1526,127,898,144,152,184,613,59.0,21.629951404171507,15.929281416270095,0.1754312158182583,1215,97,119,1354,352,378,50,221,835,38,27,44,0.0,59.90508759378015,1,299,0,0,4.56305,1,0,1086,28
73,2,2,1,2231,3711,3711,2629,248,2012,675,465,342,746,69.0,32.0258409623335,13.4553888444538,0.2683714001986097,1880,159,209,1917,669,953,225,343,1154,2,56,100,0.0,104.55133212122009,1,0,0,0,4.35988,1,0,2231,0
74,2,2,1,2255,3630,3687,1669,57,2164,962,350,429,533,84.0,17.0,28.895751475241887,0.42732485664422837,3528,105,136,1621,439,1587,231,553,2565,2,58,119,128.287310224416,113.59360949386613,1,0,0,0,4.60341,1,0,2255,57
75,2,2,1,1615,2489,2505,1490,4,1964,323,284,345,654,44.0,10.0,17.6225429012697,0.2942067398712609,4977,28,87,1338,402,707,378,721,3780,2,43,53,0.0,131.67816423915826,1,0,0,0,4.64907,1,0,1615,16
76,2,2,1,1800,2608,3013,1761,43,1977,525,304,522,448,41.0,7.7584600857799,18.658586605749697,0.3561549100968188,3015,31,71,1152,602,957,70,384,937,1,39,1584,136.1993029254813,129.41759489599673,2,1471,0,0,4.46759,1,0,1800,405
77,2,2,1,2144,4149,4410,2029,103,2076,838,411,308,575,69.0,15.0,31.701450966543696,0.3131042995268463,2163,130,626,1844,890,1225,176,136,1805,1,15,30,96.63933942015476,80.25021168223378,2,0,0,0,3.75081,1,0,2144,261
78,2,2,1,2760,5227,5273,1536,182,2502,1699,471,321,245,91.0,22.612752083876103,19.443976647959,0.3628808864265928,1270,81,594,1422,1443,1720,10,126,1084,1,27,22,0.0,57.079375914828255,2,0,0,0,4.03936,2,0,2760,46
79,2,2,1,2065,3183,3253,2663,68,2282,418,690,272,694,68.0,13.143688537578177,35.8489730924864,0.1548467017652524,10004,40,87,1852,697,430,247,706,5295,4,349,3403,0.0,127.7221678886256,1,387,412,5,4.33112,3,0,2065,70
80,2,2,1,2040,3773,3839,2406,100,1856,632,330,377,709,59.0,31.46239433557831,7.386934640500102,0.0980891719745223,692,172,219,2190,892,329,19,228,388,1,24,32,0.0,0.0,2,0,0,0,3.64141,1,0,2040,66
81,2,2,1,4080,7742,7984,5455,373,3745,1160,801,558,1559,110.0,41.69196125976202,33.48967857638581,0.10445750673524369,2760,294,670,4474,1852,613,85,898,1542,3,74,158,0.0,59.339945257989775,1,0,0,0,4.31032,1,0,4080,242
82,2,2,1,1532,2875,2907,1941,242,1431,322,236,190,791,76.0,29.0,23.344538568159,0.1557632398753894,2349,73,272,1310,740,393,310,339,1590,2,53,55,0.0,44.08110219164955,1,0,0,0,3.99784,1,0,1532,32
