"","a","b","tollclass","project","facility_name","s2toll_mandatory","THRESHOLD_SPEED","MAX_TOLL","MIN_TOLL","Grouping major","Grouping minor"
"4451",9048,9050,990232,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4452",9049,9202,990887,"NextGenFwy","I-880 SCL - SR237 to SR262 Mission Blvd  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4453",9050,9056,990232,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4454",9051,20199,990231,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4455",9056,20201,990232,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4456",9059,20200,990231,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4457",9060,20203,990232,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4458",9075,20166,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4459",9077,9078,990855,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4460",9078,9079,990855,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4461",9079,9080,990855,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4462",9080,9081,990855,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4463",9081,9082,990855,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4464",9082,9083,990855,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4465",9083,10547,990855,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4466",9084,9085,990856,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4467",9085,9086,990856,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4468",9086,9087,990856,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4469",9087,9088,990856,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4470",9088,9089,990856,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4471",9089,9090,990856,"NextGenFwy","SR85 - SR87 to US101 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4472",9106,20187,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4473",9108,20186,770889,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4474",9108,20187,770890,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4475",9110,20185,770117,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4476",9110,20186,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4477",9112,20184,770117,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4478",9112,20185,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4479",9114,20184,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4480",9121,20191,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4481",9125,9173,990884,"NextGenFwy","I-880 ALA - Dumbarton Bridge to SM Bridge  (Per Mile Tolling) - SB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_880680_AM"
"4482",9126,20181,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4483",9126,20182,770117,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4484",9128,20180,770892,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Outer_PM","SouthBay_Outer280680_PM"
"4485",9128,20181,770117,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4486",9130,20179,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4487",9130,20180,770891,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Outer_AM","SouthBay_Outer280680_AM"
"4488",9134,20178,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4489",9134,20179,770117,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4490",9138,20177,770118,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4491",9138,20178,770117,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4492",9141,9145,990118,"NextGenFwy","US101 SCL - I-880 to SR237  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4493",9142,20176,770172,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Outer_PM","SouthBay_Outer280680_PM"
"4494",9142,20177,770286,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Outer_PM","SouthBay_Outer280680_PM"
"4495",9145,9147,990118,"NextGenFwy","US101 SCL - I-880 to SR237  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4496",9146,20175,770172,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Outer_PM","SouthBay_Outer280680_PM"
"4497",9146,20176,770171,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Outer_AM","SouthBay_Outer280680_AM"
"4498",9147,20142,990118,"NextGenFwy","US101 SCL - I-880 to SR237  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4499",9149,20175,770117,"NextGenFwy","na",NA,NA,NA,NA,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4500",9152,9153,990120,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4501",9153,10012,990120,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4502",9154,20145,990120,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4503",9156,20146,990120,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4504",9158,10108,990120,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4505",9161,20208,990119,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4506",9162,9398,990872,"NextGenFwy","SR87 - US101 Interchange to SR85  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Outer_PM","SouthBay_Outer10187_PM"
"4507",9163,9164,990119,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4508",9164,10015,990119,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4509",9165,20143,990119,"NextGenFwy","US101 SCL - SR85 to I-880  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Outer_AM","SouthBay_Outer10187_AM"
"4510",9167,20144,990117,"NextGenFwy","US101 SCL - I-880 to SR237  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4511",9169,9170,990117,"NextGenFwy","US101 SCL - I-880 to SR237  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4512",9170,20108,990117,"NextGenFwy","US101 SCL - I-880 to SR237  (Per Mile Tolling) - NB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4513",9172,9041,990883,"NextGenFwy","I-880 ALA - Dumbarton Bridge to SM Bridge  (Per Mile Tolling) - NB",NA,45,5,0.001,"EastBay_Outer_PM","EastBay_880680_PM"
"4514",9173,20241,990886,"NextGenFwy","I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge  (Per Mile Tolling) - SB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_880680_AM"
"4515",9174,9172,990883,"NextGenFwy","I-880 ALA - Dumbarton Bridge to SM Bridge  (Per Mile Tolling) - NB",NA,45,5,0.001,"EastBay_Outer_PM","EastBay_880680_PM"
"4516",9176,9174,990885,"NextGenFwy","I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge  (Per Mile Tolling) - NB",NA,45,5,0.001,"EastBay_Outer_PM","EastBay_880680_PM"
"4517",9177,9179,990886,"NextGenFwy","I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge  (Per Mile Tolling) - SB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_880680_AM"
"4518",9179,9181,990886,"NextGenFwy","I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge  (Per Mile Tolling) - SB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_880680_AM"
"4519",9180,20193,990885,"NextGenFwy","I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge  (Per Mile Tolling) - NB",NA,45,5,0.001,"EastBay_Outer_PM","EastBay_880680_PM"
"4520",9181,20194,990886,"NextGenFwy","I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge  (Per Mile Tolling) - SB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_880680_AM"
