Corridor,Category,Short Name,Model Run ID,Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID"
Periphery_80Solano,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,,0.00,94.00,-46.00,,0.00,,0.00,906.44,34.10,1000.44,-11.90
Periphery_80Solano,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,,0.00,2217.27,2077.27,,0.00,,0.00,968.40,96.06,3185.67,2173.33
Periphery_80Solano,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,,0.00,2184.73,2044.73,,0.00,,0.00,884.74,12.40,3069.47,2057.13
Periphery_80Solano,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,,0.00,2403.28,2263.28,,0.00,,0.00,937.90,65.56,3341.18,2328.84
Periphery_80Solano,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,,0.00,2515.29,2375.29,,0.00,,0.00,970.80,98.46,3486.09,2473.75
Periphery_80Solano,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,,0.00,2366.73,2226.73,,0.00,,0.00,916.14,43.80,3282.87,2270.53
Periphery_80Solano,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,,0.00,2336.73,2196.73,,0.00,,0.00,911.64,39.30,3248.37,2236.03
Periphery_80Solano,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,,0.00,64.00,-76.00,,0.00,,0.00,927.60,55.26,991.60,-20.74
Periphery_80Solano,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,,0.00,138.00,-2.00,,0.00,,0.00,957.14,84.80,1095.14,82.80
Periphery_80Solano,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,,0.00,140.00,0.00,,0.00,,0.00,872.34,0.00,1012.34,0.00
Periphery_101NorthBay,No Project,NoProject v10,2035_TM152_NGF_NP10,296.00,84.00,7151.73,-1136.22,,0.00,,0.00,176.00,-114.00,7623.73,-1166.22
Periphery_101NorthBay,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,254.00,42.00,7277.65,-1010.30,,0.00,,0.00,288.00,-2.00,7819.65,-970.30
Periphery_101NorthBay,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,201.07,-10.93,9980.44,1692.49,,0.00,,0.00,271.12,-18.88,10452.63,1662.68
Periphery_101NorthBay,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,256.00,44.00,9390.66,1102.71,,0.00,,0.00,242.00,-48.00,9888.66,1098.71
Periphery_101NorthBay,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,208.00,-4.00,9766.86,1478.91,,0.00,,0.00,251.12,-38.88,10225.98,1436.03
Periphery_101NorthBay,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,244.00,32.00,10047.78,1759.83,,0.00,,0.00,207.12,-82.88,10498.90,1708.95
Periphery_101NorthBay,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,246.00,34.00,9213.60,925.65,,0.00,,0.00,216.00,-74.00,9675.60,885.65
Periphery_101NorthBay,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,256.00,44.00,9092.15,804.20,,0.00,,0.00,254.00,-36.00,9602.15,812.20
Periphery_101NorthBay,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,166.00,-46.00,9000.63,712.68,,0.00,,0.00,248.00,-42.00,9414.63,624.68
Periphery_101NorthBay,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,234.00,22.00,7757.38,-530.57,,0.00,,0.00,188.00,-102.00,8179.38,-610.57
Periphery_101NorthBay,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,212.00,0.00,8287.95,0.00,,0.00,,0.00,290.00,0.00,8789.95,0.00
Periphery_101SouthBay,No Project,NoProject v10,2035_TM152_NGF_NP10,208.73,26.00,22.00,8.00,,0.00,,0.00,400.71,-90.00,631.44,-56.00
Periphery_101SouthBay,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,192.71,9.98,54.00,40.00,,0.00,,0.00,532.73,42.02,779.44,92.00
Periphery_101SouthBay,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,240.73,58.00,18.00,4.00,,0.00,,0.00,452.71,-38.00,711.44,24.00
Periphery_101SouthBay,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,164.73,-18.00,32.00,18.00,,0.00,,0.00,678.71,188.00,875.44,188.00
Periphery_101SouthBay,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,276.73,94.00,18.00,4.00,,0.00,,0.00,584.71,94.00,879.44,192.00
