A,B,I580_I238_I880_PortOfOakland,I101_I880_PortOfOakland,I80_I880_PortOfOakland,I680,SR85
3820,3814,,,,PM,
3821,3813,,,,AM,
3822,3804,,,,PM,
3873,3585,,,,PM,
3971,4029,,,,AM,
3972,1741,,,,PM,
3973,4011,,,,AM,
3983,4019,,,,PM,
4000,4028,,,,AM,
4001,4105,,,,PM,
4003,3983,,,,PM,
4011,3971,,,,AM,
4019,3972,,,,PM,
4025,4062,,,,AM,
4026,4027,,,,PM,
4027,4001,,,,PM,
4028,4025,,,,AM,
4029,4134,,,,AM,
4050,4059,,,,PM,
4051,2454,,,,AM,
4059,4061,,,,PM,
4060,4051,,,,AM,
4061,4026,,,,PM,
4062,4060,,,,AM,
4105,4135,,,,PM,
4106,4000,,,,AM,
4134,4106,,,,AM,
4135,4003,,,,PM,
8501,8503,,,,PM,
8502,1750,,,,AM,
8503,2014,,,,PM,
8504,8502,,,,AM,
10308,3818,,,,AM,
10309,3820,,,,PM,
10656,1718,,,,AM,
10657,1742,,,,PM,
4436,4454,,,,,AM
4454,4458,,,,,AM
4455,4435,,,,,PM
4458,4505,,,,,AM
4459,4455,,,,,PM
4505,4518,,,,,AM
4518,4560,,,,,AM
4519,4549,,,,,PM
4549,4459,,,,,PM
4557,4561,,,,,PM
4558,4998,,,,,AM
4560,4558,,,,,AM
4561,4519,,,,,PM
4581,4557,,,,,PM
4615,4745,,,,,PM
4616,4626,,,,,AM
4621,4615,,,,,PM
4626,4636,,,,,AM
4627,4621,,,,,PM
4636,4716,,,,,AM
4664,5561,,,,,AM
4665,4759,,,,,PM
4716,4720,,,,,AM
4717,4627,,,,,PM
4720,4726,,,,,AM
4721,4717,,,,,PM
4724,4616,,,,,AM
4726,4744,,,,,AM
4744,4752,,,,,AM
4745,4581,,,,,PM
4752,4754,,,,,AM
4753,4721,,,,,PM
4754,4664,,,,,AM
4755,4753,,,,,PM
4757,4755,,,,,PM
4759,4757,,,,,PM
4998,4724,,,,,AM
5526,5528,,,,,AM
5557,5526,,,,,AM
5559,5562,,,,,PM
5560,5557,,,,,AM
5561,5560,,,,,AM
5562,4665,,,,,PM
5568,5571,,,,,PM
5571,5559,,,,,PM
5647,5568,,,,,PM
