CDSCode,StatusType,District,School,Street,StreetAbr,City,Zip,State,County,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Latitude,Longitude
07617546004139,Closed,Mt. Diablo Unified,Larkey Elementary,2721 Larkey Lane,2721 Larkey Ln.,Walnut Creek,94598,CA,Contra Costa,2721 Larkey Lane,2721 Larkey Ln.,Walnut Creek,94598,CA,,
07617546004147,Merged,Mt. Diablo Unified,Loma Visa Intermediate,1266 San Carlos Avenue,1266 San Carlos Ave.,Concord,94518,CA,Contra Costa,1266 San Carlos Avenue,1266 San Carlos Ave.,Concord,94518,CA,,
07617546004154,Active,Mt. Diablo Unified,Meadow Homes Elementary,1371 Detroit Avenue,1371 Detroit Ave.,Concord,94520-3521,CA,Contra Costa,1371 Detroit Avenue,1371 Detroit Ave.,Concord,94520-3521,CA,37.965928,-122.03887
07617546004162,Active,Mt. Diablo Unified,Monte Gardens Elementary,3841 Larkspur Drive,3841 Larkspur Dr.,Concord,94519-1152,CA,Contra Costa,3841 Larkspur Drive,3841 Larkspur Dr.,Concord,94519-1152,CA,37.988217,-122.00524
07617546004170,Active,Mt. Diablo Unified,Mountain View Elementary,1705 Thornwood Drive,1705 Thornwood Dr.,Concord,94521-1999,CA,Contra Costa,1705 Thornwood Drive,1705 Thornwood Dr.,Concord,94521-1999,CA,37.968663,-121.98032
07617546004188,Active,Mt. Diablo Unified,Mt. Diablo Elementary,5880 Mount Zion Drive,5880 Mt. Zion Dr.,Clayton,94517-1114,CA,Contra Costa,5880 Mount Zion Drive,5880 Mt. Zion Dr.,Clayton,94517-1114,CA,37.942567,-121.94018
07617546004196,Active,Mt. Diablo Unified,Oak Grove Middle,2050 Minert Road,2050 Minert Rd.,Concord,94518-3428,CA,Contra Costa,2050 Minert Road,2050 Minert Rd.,Concord,94518-3428,CA,37.939851,-122.03497
07617546004204,Closed,Mt. Diablo Unified,Oak Park Center,1649 Oak Park Boulevard,1649 Oak Park Blvd.,Pleasant Hill,94523,CA,Contra Costa,1649 Oak Park Boulevard,1649 Oak Park Blvd.,Pleasant Hill,94523,CA,,
07617546004212,Closed,Mt. Diablo Unified,Pacheco Elementary,1936 Carlotta Drive,1936 Carlotta Dr.,Concord,94519,CA,Contra Costa,1936 Carlotta Drive,1936 Carlotta Dr.,Concord,94519,CA,,
07617546004220,Active,Mt. Diablo Unified,Pine Hollow Middle,5522 Pine Hollow Road,5522 Pine Hollow Rd.,Concord,94521-4799,CA,Contra Costa,5522 Pine Hollow Road,5522 Pine Hollow Rd.,Concord,94521-4799,CA,37.941261,-121.95472
07617546004238,Active,Mt. Diablo Unified,Sunrise (Special Education),1861 Silverwood Drive,1861 Silverwood Dr.,Concord,94519-1352,CA,Contra Costa,1861 Silverwood Drive,1861 Silverwood Dr.,Concord,94519-1352,CA,37.985514,-122.00295
07617546004246,Active,Mt. Diablo Unified,Pleasant Hill Elementary,2097 Oak Park Boulevard,2097 Oak Park Blvd.,Pleasant Hill,94523-4033,CA,Contra Costa,2097 Oak Park Boulevard,2097 Oak Park Blvd.,Pleasant Hill,94523-4033,CA,37.933651,-122.08259
07617546004253,Active,Mt. Diablo Unified,Sequoia Elementary,277 Boyd Road,277 Boyd Rd.,Pleasant Hill,94523-3796,CA,Contra Costa,277 Boyd Road,277 Boyd Rd.,Pleasant Hill,94523-3796,CA,37.943480,-122.06690
07617546004261,Active,Mt. Diablo Unified,Riverview Middle,205 Pacifica Avenue,205 Pacifica Ave.,Bay Point,94565-2995,CA,Contra Costa,205 Pacifica Avenue,205 Pacifica Ave.,Bay Point,94565-2995,CA,38.033976,-121.96551
07617546004279,Closed,Mt. Diablo Unified,San Miguel Elementary,245 El Divisadero,245 El Divisadero,Walnut Creek,94596,CA,Contra Costa,245 El Divisadero,245 El Divisadero,Walnut Creek,94596,CA,,
07617546004287,Closed,Mt. Diablo Unified,Shadelands (Special Education),1860 Silverwood Drive,1860 Silverwood Dr.,Concord,94519-1351,CA,Contra Costa,1860 Silverwood Drive,1860 Silverwood Dr.,Concord,94519-1351,CA,,
07617546004295,Active,Mt. Diablo Unified,Shore Acres Elementary,351 Marina Road,351 Marina Rd.,Bay Point,94565-1399,CA,Contra Costa,351 Marina Road,351 Marina Rd.,Bay Point,94565-1399,CA,38.036190,-121.97037
07617546004303,Active,Mt. Diablo Unified,Silverwood Elementary,1649 Claycord Avenue,1649 Claycord Ave.,Concord,94521-2299,CA,Contra Costa,1649 Claycord Avenue,1649 Claycord Ave.,Concord,94521-2299,CA,37.962573,-121.97170
07617546004311,Active,Mt. Diablo Unified,Strandwood Elementary,416 Gladys Drive,416 Gladys Dr.,Pleasant Hill,94523-2749,CA,Contra Costa,416 Gladys Drive,416 Gladys Dr.,Pleasant Hill,94523-2749,CA,37.950241,-122.07585
07617546004329,Active,Mt. Diablo Unified,Sun Terrace Elementary,2448 Floyd Lane,2448 Floyd Ln.,Concord,94520-1499,CA,Contra Costa,2448 Floyd Lane,2448 Floyd Ln.,Concord,94520-1499,CA,38.000203,-122.03012
07617546004337,Active,Mt. Diablo Unified,Valhalla Elementary,530 Kiki Drive,530 Kiki Dr.,Pleasant Hill,94523-1717,CA,Contra Costa,530 Kiki Drive,530 Kiki Dr.,Pleasant Hill,94523-1717,CA,37.966593,-122.08077
07617546004345,Active,Mt. Diablo Unified,Valle Verde Elementary,3275 Peachwillow Lane,3275 Peachwillow Ln.,Walnut Creek,94598-1711,CA,Contra Costa,3275 Peachwillow Lane,3275 Peachwillow Ln.,Walnut Creek,94598-1711,CA,37.934297,-122.01490
07617546004352,Active,Mt. Diablo Unified,Valley View Middle,181 Viking Drive,181 Viking Dr.,Pleasant Hill,94523-1808,CA,Contra Costa,181 Viking Drive,181 Viking Dr.,Pleasant Hill,94523-1808,CA,37.965869,-122.07186
07617546004360,Active,Mt. Diablo Unified,Walnut Acres Elementary,180 Cerezo Drive,180 Cerezo Dr.,Walnut Creek,94598-3799,CA,Contra Costa,180 Cerezo Drive,180 Cerezo Dr.,Walnut Creek,94598-3799,CA,37.917636,-122.02031
07617546004378,Active,Mt. Diablo Unified,Westwood Elementary,1748 West Street,1748 West St.,Concord,94521-1008,CA,Contra Costa,1748 West Street,1748 West St.,Concord,94521-1008,CA,37.976734,-121.99182
07617546004386,Closed,Mt. Diablo Unified,Williams Elementary,2895 East Street,2895 East St.,Concord,94520,CA,Contra Costa,2895 East Street,2895 East St.,Concord,94520,CA,,
07617546004394,Active,Mt. Diablo Unified,Woodside Elementary,761 San Simeon Drive,761 San Simeon Dr.,Concord,94518-2337,CA,Contra Costa,761 San Simeon Drive,761 San Simeon Dr.,Concord,94518-2337,CA,37.940377,-122.01756
07617546004402,Active,Mt. Diablo Unified,Wren Avenue Elementary,3339 Wren Avenue,3339 Wren Ave.,Concord,94519-2328,CA,Contra Costa,3339 Wren Avenue,3339 Wren Ave.,Concord,94519-2328,CA,37.980245,-122.01636
07617546004410,Active,Mt. Diablo Unified,Ygnacio Valley Elementary,2217 Chalomar Road,2217 Chalomar Rd.,Concord,94518-2595,CA,Contra Costa,2217 Chalomar Road,2217 Chalomar Rd.,Concord,94518-2595,CA,37.950182,-122.02830
07617546066575,Closed,Mt. Diablo Unified,Castle Rock Elementary,800 Hutchinson Road,800 Hutchinson Rd.,Walnut Creek,94598,CA,Contra Costa,800 Hutchinson Road,800 Hutchinson Rd.,Walnut Creek,94598,CA,,
07617546068688,Closed,Mt. Diablo Unified,Willow Creek Elementary,2400 Lisa Lane,2400 Lisa Ln.,Pleasant Hill,94523,CA,Contra Costa,Fair Oaks Es.,Fair Oaks Es.,Pleasant Hill,94523,CA,,
07617546069041,Closed,Mt. Diablo Unified,Clayton Valley Special(Eh),,,,,,Contra Costa,,,,,,,
07617546071401,Closed,Mt. Diablo Unified,Treat Learning Center,1135 Lacey Lane,1135 Lacey Ln.,Concord,94520,CA,Contra Costa,1135 Lacey Lane,1135 Lacey Ln.,Concord,94520,CA,,
07617546096226,Active,Mt. Diablo Unified,Rio Vista Elementary,611 Pacifica Avenue,611 Pacifica Ave.,Bay Point,94565-1359,CA,Contra Costa,611 Pacifica Avenue,611 Pacifica Ave.,Bay Point,94565-1359,CA,38.033972,-121.97471
07617546101299,Closed,Mt. Diablo Unified,Pleasant Hill Adult Center,3100 Oak Park Boulevard,3100 Oak Park Blvd.,Pleasant Hill,94523,CA,Contra Costa,3100 Oak Park Boulevard,3100 Oak Park Blvd.,Pleasant Hill,94523,CA,,
07617546101307,Closed,Mt. Diablo Unified,Delta Center (Special Ed.),3100 Oak Park Boulevard,3100 Oak Park Blvd.,Pleasant Hill,94523-4417,CA,Contra Costa,3100 Oak Park Boulevard,3100 Oak Park Blvd.,Pleasant Hill,94523-4417,CA,,
07617546101315,Closed,Mt. Diablo Unified,Crawford Village Center,1250 San Carlos Avenue,1250 San Carlos Ave.,Concord,94520,CA,Contra Costa,1250 San Carlos Avenue,1250 San Carlos Ave.,Concord,94520,CA,,
07617546101323,Closed,Mt. Diablo Unified,Hillcrest Center,2900 Avon Avenue,2900 Avon Ave.,Concord,94520,CA,Contra Costa,2900 Avon Avenue,2900 Avon Ave.,Concord,94520,CA,,
07617546101505,Closed,Mt. Diablo Unified,Foster Child Program,2730 Salvio Street,2730 Salvio St.,Concord,94519,CA,Contra Costa,2730 Salvio Street,2730 Salvio St.,Concord,94519,CA,,
07617546104350,Closed,Mt. Diablo Unified,Home and Hospital,3100 Oak Park Boulevard,3100 Oak Park Blvd.,Pleasant Hill,94523,CA,Contra Costa,3100 Oak Park Boulevard,3100 Oak Park Blvd.,Pleasant Hill,94523-4496,CA,,
07617546105357,Active,Mt. Diablo Unified,Sequoia Middle,265 Boyd Road,265 Boyd Rd.,Pleasant Hill,94523-3297,CA,Contra Costa,265 Boyd Road,265 Boyd Rd.,Pleasant Hill,94523-3297,CA,37.943481,-122.06793
07617546111504,Active,Mt. Diablo Unified,Diablo View Middle,300 Diablo View Lane,300 Diablo View Ln.,Clayton,94517-1600,CA,Contra Costa,300 Diablo View Lane,300 Diablo View Ln.,Clayton,94517-1600,CA,37.932145,-121.92303
07617546112395,Active,Mt. Diablo Unified,Gregory Gardens Elementary,1 Corritone Court,1 Corritone Ct.,Pleasant Hill,94523-2299,CA,Contra Costa,1 Corritone Court,1 Corritone Ct.,Pleasant Hill,94523-2299,CA,37.959933,-122.06683
07617546114904,Active,Mt. Diablo Unified,Pleasant Hill Middle,1 Santa Barbara Road,1 Santa Barbara Rd.,Pleasant Hill,94503-4215,CA,Contra Costa,1 Santa Barbara Road,1 Santa Barbara Rd.,Pleasant Hill,94503-4215,CA,37.935713,-122.06812
07617546118087,Active,Mt. Diablo Unified,Eagle Peak Montessori,800 Hutchinson Road,800 Hutchinson Rd.,Walnut Creek,94598-4505,CA,Contra Costa,800 Hutchinson Road,800 Hutchinson Rd.,Walnut Creek,94598-4505,CA,37.911384,-122.01214
07617549011370,Merged,Mt. Diablo Unified,Williams Preschool Center,285 East Street,285 East St.,Concord,94520,CA,Contra Costa,285 East Street,285 East St.,Concord,94520,CA,,
07617620000000,Active,Oakley Union Elementary,,91 Mercedes Lane,91 Mercedes Ln.,Oakley,94561-4617,CA,Contra Costa,91 Mercedes Lane,91 Mercedes Ln.,Oakley,94561-4617,CA,37.981486,-121.71628
07617620110684,Active,Oakley Union Elementary,Iron House Elementary,4801 Frank Hengel Way,4801 Frank Hengel Way,Oakley,94561-4617,CA,Contra Costa,4801 Frank Hengel Way,4801 Frank Hengel Way,Oakley,94561-4617,CA,37.993042,-121.68955
07617620129064,Active,Oakley Union Elementary,Almond Grove Elementary,5000 Amaryllis Street,5000 Amaryllis St.,Oakley,94561-2206,CA,Contra Costa,5000 Amaryllis Street,5000 Amaryllis St.,Oakley,94561-2206,CA,37.974834,-121.72528
07617626004428,Active,Oakley Union Elementary,Oakley Elementary,501 Norcross Lane,501 Norcross Ln.,Oakley,94561-2189,CA,Contra Costa,91 Mercedes Lane,91 Mercedes Ln.,Oakley,94561-4617,CA,37.995067,-121.71617
07617626004436,Closed,Oakley Union Elementary,Oakley Middle,Norcross Lane,Norcross Ln.,Oakley,94561,CA,Contra Costa,PO Box 7,PO Box 7,Oakley,94561,CA,,
07617626096234,Active,Oakley Union Elementary,Gehringer Elementary,100 Simoni Ranch Road,100 Simoni Ranch Rd.,Oakley,94561-2713,CA,Contra Costa,100 Simoni Ranch Road,100 Simoni Ranch Rd.,Oakley,94561-2713,CA,37.976086,-121.69874
07617626108765,Active,Oakley Union Elementary,O'Hara Park Middle,1100 O'Hara Avenue,1100 O'Hara Ave.,Oakley,94561-3502,CA,Contra Costa,1100 O'Hara Avenue,1100 O'Hara Ave.,Oakley,94561-3502,CA,37.989192,-121.71395
07617626110803,Active,Oakley Union Elementary,Laurel Elementary,1141 Laurel Road,1141 Laurel Rd.,Oakley,94561-5906,CA,Contra Costa,1141 Laurel Road,1141 Laurel Rd.,Oakley,94561-5906,CA,37.983197,-121.71741
07617626110811,Active,Oakley Union Elementary,Vintage Parkway Elementary,1000 Vintage Parkway,1000 Vintage Pkwy.,Oakley,94561-3161,CA,Contra Costa,1000 Vintage Parkway,1000 Vintage Pkwy.,Oakley,94561-3161,CA,38.004214,-121.71969
07617626119226,Active,Oakley Union Elementary,Delta Vista Middle,4901 Frank Hengel Way,4901 Frank Hengel Way,Oakley,94561-3712,CA,Contra Costa,4901 Frank Hengel Way,4901 Frank Hengel Way,Oakley,94561-3712,CA,37.993624,-121.68954
07617700000000,Active,Orinda Union Elementary,,8 Altarinda Road,8 Altarinda Rd.,Orinda,94563-2603,CA,Contra Costa,8 Altarinda Road,8 Altarinda Rd.,Orinda,94563-2603,CA,37.882694,-122.18306
07617706004444,Active,Orinda Union Elementary,Del Rey Elementary,25 El Camino Moraga,25 El Camino Moraga,Orinda,94563-4117,CA,Contra Costa,25 El Camino Moraga,25 El Camino Moraga,Orinda,94563-4117,CA,37.846605,-122.15395
07617706004451,Active,Orinda Union Elementary,Glorietta Elementary,15 Martha Road,15 Martha Rd.,Orinda,94563-3558,CA,Contra Costa,15 Martha Road,15 Martha Rd.,Orinda,94563-3558,CA,37.872372,-122.16240
07617706004469,Closed,Orinda Union Elementary,Inland Valley Elementary,70 Ivy Drive,70 Ivy Dr.,Orinda,94563,CA,Contra Costa,70 Ivy Drive,70 Ivy Dr.,Orinda,94563,CA,,
07617706004477,Active,Orinda Union Elementary,Orinda Intermediate,80 Ivy Drive,80 Ivy Dr.,Orinda,94563-4244,CA,Contra Costa,80 Ivy Drive,80 Ivy Dr.,Orinda,94563-4244,CA,37.851205,-122.14544
07617706004485,Closed,Orinda Union Elementary,Orinda Elem.,26 Orinda Way,26 Orinda Way,Orinda,94563,CA,Contra Costa,26 Orinda Way,26 Orinda Way,Orinda,94563,CA,,
07617706004493,Closed,Orinda Union Elementary,Pine Grove Intermediate,12 Altarinda Road,12 Altarinda Rd.,Orinda,94563,CA,Contra Costa,12 Altarinda Road,12 Altarinda Rd.,Orinda,94563,CA,,
07617706004501,Active,Orinda Union Elementary,Sleepy Hollow Elementary,20 Washington Lane,20 Washington Ln.,Orinda,94563-1325,CA,Contra Costa,20 Washington Lane,20 Washington Ln.,Orinda,94563-1325,CA,37.908065,-122.19876
07617706066583,Active,Orinda Union Elementary,Wagner Ranch Elementary,350 Camino Pablo,350 Camino Pablo,Orinda,94563-1602,CA,Contra Costa,350 Camino Pablo,350 Camino Pablo,Orinda,94563-1602,CA,37.897925,-122.20855
07617880000000,Active,Pittsburg Unified,,2000 Railroad Avenue,2000 Railroad Ave.,Pittsburg,94565-3830,CA,Contra Costa,2000 Railroad Avenue,2000 Railroad Ave.,Pittsburg,94565-3830,CA,38.020229,-121.88820
07617880116863,Active,Pittsburg Unified,Marina Vista Elementary,50 East Eighth Street,50 East Eighth St.,Pittsburg,94565-2442,CA,Contra Costa,50 East Eighth Street,50 East Eighth St.,Pittsburg,94565-2442,CA,38.029515,-121.88524
07617880125435,Active,Pittsburg Unified,Martin Luther King Jr. Junior High,2012 Carion Court,2012 Carion Ct.,Pittsburg,94565-4116,CA,Contra Costa,2012 Carion Court,2012 Carion Ct.,Pittsburg,94565-4116,CA,38.015168,-121.86971
07617880730028,Closed,Pittsburg Unified,Pittsburg Adult Center,350 E. 10th Street,350 E. 10th St.,Pittsburg,94565,CA,Contra Costa,350 E. 10th Street,350 E. 10th St.,Pittsburg,94565,CA,,
07617880730093,Closed,Pittsburg Unified,Downtown Center,350 E. 10th Street,350 E. 10th St.,Pittsburg,94565,CA,Contra Costa,350 E. 10th Street,350 E. 10th St.,Pittsburg,94565,CA,,
07617880730184,Active,Pittsburg Unified,Black Diamond High (Continuation),1131 Stoneman Avenue,1131 Stoneman Ave.,Pittsburg,94565-5466,CA,Contra Costa,1131 Stoneman Avenue,1131 Stoneman Ave.,Pittsburg,94565-5466,CA,38.003966,-121.87774
07617880730192,Closed,Pittsburg Unified,Grasp Independent Study,809 Black Diamond Street,809 Black Diamond St.,Pittsburg,94565,CA,Contra Costa,809 Black Diamond Street,809 Black Diamond St.,Pittsburg,94565,CA,,
07617880730507,Closed,Pittsburg Unified,Pittsburg Unified Community Day,809 Black Diamond,809 Black Diamond,Pittsburg,94565,CA,Contra Costa,809 Black Diamond Street,809 Black Diamond St.,Pittsburg,94565,CA,,
07617880730564,Closed,Pittsburg Unified,Independent Learning Center,1025A Black Diamond Street,1025A Black Diamond St.,Pittsburg,94565-2558,CA,Contra Costa,1025A Black Diamond Street,1025A Black Diamond St.,Pittsburg,94565-2558,CA,,
07617880735332,Closed,Pittsburg Unified,Marina High (Cont.),809 Black Diamond,809 Black Diamond,Pittsburg,94565,CA,Contra Costa,809 Black Diamond,809 Black Diamond,Pittsburg,94565,CA,,
07617880735340,Active,Pittsburg Unified,Pittsburg Adult Education Center,20 East 10th Street,20 East 10th St.,Pittsburg,94565-2599,CA,Contra Costa,1151 Stoneman Avenue,1151 Stoneman Ave.,Pittsburg,94565,CA,38.028159,-121.88631
07617880735407,Active,Pittsburg Unified,Pittsburg Senior High,1750 Harbor Street,1750 Harbor St.,Pittsburg,94565-4615,CA,Contra Costa,1750 Harbor Street,1750 Harbor St.,Pittsburg,94565-4615,CA,38.019548,-121.88137
07617880735472,Closed,Pittsburg Unified,Pittsburg Senior High South,1201 Stoneman Avenue,1201 Stoneman Ave.,Pittsburg,94565,CA,Contra Costa,1201 Stoneman Avenue,1201 Stoneman Ave.,Pittsburg,94565,CA,,
07617886004519,Closed,Pittsburg Unified,El Pueblo Elem (Defunct),,,,,,Contra Costa,,,,,,,
07617886004527,Active,Pittsburg Unified,Heights Elementary,163 Alturas Avenue,163 Alturas Ave.,Pittsburg,94565-5883,CA,Contra Costa,163 Alturas Avenue,163 Alturas Ave.,Pittsburg,94565-5883,CA,37.984035,-122.02181
07617886004535,Active,Pittsburg Unified,Highlands Elementary,4141 Harbor Street,4141 Harbor St.,Pittsburg,94565-6199,CA,Contra Costa,4141 Harbor Street,4141 Harbor St.,Pittsburg,94565-6199,CA,37.998670,-121.88696
07617886004543,Active,Pittsburg Unified,Los Medanos Elementary,610 Crowley Avenue,610 Crowley Ave.,Pittsburg,94565-4798,CA,Contra Costa,610 Crowley Avenue,610 Crowley Ave.,Pittsburg,94565-4798,CA,38.016486,-121.90046
07617886004550,Closed,Pittsburg Unified,Marina Elementary,C/O Village Elementary,C/O Village Elementary,Pittsburg,94565,CA,Contra Costa,350 School Street,350 School St.,Pittsburg,94565,CA,,
07617886004568,Active,Pittsburg Unified,Parkside Elementary,985 West 17th Street,985 West 17th St.,Pittsburg,94565-3716,CA,Contra Costa,985 West 17th Street,985 West 17th St.,Pittsburg,94565-3716,CA,38.022918,-121.89965
07617886004576,Active,Pittsburg Unified,Willow Cove Elementary,1880 Hanlon Way,1880 Hanlon Way,Pittsburg,94565-3835,CA,Contra Costa,1880 Hanlon Way,1880 Hanlon Way,Pittsburg,94565-3835,CA,38.023106,-121.92675
07617886057194,Closed,Pittsburg Unified,Central Junior High,351 School Street,351 School St.,Pittsburg,94565,CA,Contra Costa,351 School Street,351 School St.,Pittsburg,94565,CA,,
07617886061162,Active,Pittsburg Unified,Hillview Junior High,333 Yosemite Drive,333 Yosemite Dr.,Pittsburg,94565-5285,CA,Contra Costa,333 Yosemite Drive,333 Yosemite Dr.,Pittsburg,94565-5285,CA,38.002377,-121.88838
07617886069132,Merged,Pittsburg Unified,Martin Luther King Preschool,950 El Pueblo Drive,950 El Pueblo Dr.,Pittsburg,94565,CA,Contra Costa,950 El Pueblo Drive,950 El Pueblo Dr.,Pittsburg,94565,CA,,
07617886084966,Active,Pittsburg Unified,Rancho Medanos Junior High,2301 Range Road,2301 Range Rd.,Pittsburg,94565-5495,CA,Contra Costa,2301 Range Road,2301 Range Rd.,Pittsburg,94565-5495,CA,38.015377,-121.91324
07617886098578,Active,Pittsburg Unified,Foothill Elementary,1200 Jensen Drive,1200 Jensen Dr.,Pittsburg,94565-6399,CA,Contra Costa,1200 Jensen Drive,1200 Jensen Dr.,Pittsburg,94565-6399,CA,37.996002,-121.87525
07617886109383,Active,Pittsburg Unified,Stoneman Elementary,2929 Loveridge Road,2929 Loveridge Rd.,Pittsburg,94565-5132,CA,Contra Costa,2929 Loveridge Road,2929 Loveridge Rd.,Pittsburg,94565-5132,CA,38.006603,-121.87132
07617886114003,Closed,Pittsburg Unified,Willow Cove Elementary,New Name/Location Only,New Name/Location Only,Pittsburg,94565,CA,Contra Costa,New Name/Location Only,New Name/Location Only,Pittsburg,94565,CA,,
07617886117212,Closed,Pittsburg Unified,Elementary Community Day,1125 Black Diamond Street,1125 Black Diamond St.,Pittsburg,94565,CA,Contra Costa,1125 Black Diamond Street,1125 Black Diamond St.,Pittsburg,94565,CA,,
07617960000000,Active,West Contra Costa Unified,,1108 Bissell Avenue,1108 Bissell Ave.,Richmond,94801-3135,CA,Contra Costa,1108 Bissell Avenue,1108 Bissell Ave.,Richmond,94801-3135,CA,37.934063,-122.35848
07617960101477,Active,West Contra Costa Unified,Leadership Public Schools: Richmond,880 Bissell Avenue,880 Bissell Ave.,Richmond,94801-2411,CA,Contra Costa,1404 Franklin Street Suite 300,1404 Franklin St. Ste. 300,Oakland,94612-3544,CA,37.934059,-122.36110
07617960110973,Active,West Contra Costa Unified,Richmond College Preparatory,214 South 11th Street,214 South 11th St.,Richmond,94804-2474,CA,Contra Costa,PO Box 2814,PO Box 2814,Richmond,94802-2814,CA,37.929277,-122.35899
07617960115352,Closed,West Contra Costa Unified,West County Community High,777 Sonoma Street,777 Sonoma St.,Richmond,94805-1534,CA,Contra Costa,777 Sonoma Street,777 Sonoma St.,Richmond,94805-1534,CA,37.945488,-122.32069
07617960116319,Active,West Contra Costa Unified,Cameron,7140 Gladys Avenue,7140 Gladys Ave.,El Cerrito,94530-3108,CA,Contra Costa,7140 Gladys Avenue,7140 Gladys Ave.,El Cerrito,94530-3108,CA,37.922037,-122.30687
07617960118539,Closed,West Contra Costa Unified,WCCUSD Community Day School Program,715 Chanslor Avenue,715 Chanslor Ave.,Richmond,94801-3533,CA,Contra Costa,715 Chanslor Avenue,715 Chanslor Ave.,Richmond,94801-3533,CA,37.932480,-122.36265
07617960126805,Active,West Contra Costa Unified,Richmond Charter Academy,1450 Marina Way South,1450 Marina Way South,Richmond,94804-1718,CA,Contra Costa,1450 Marina Way South,1450 Marina Way South,Richmond,94804-1718,CA,37.911383,-122.35594
07617960129643,Active,West Contra Costa Unified,Richmond Charter Elementary-Benito Juarez,777 Sonoma Street,777 Sonoma St.,Richmond,94805-1534,CA,Contra Costa,777 Sonoma Street,777 Sonoma St.,Richmond,94805-1534,CA,37.945277,-122.32084
07617960132100,Active,West Contra Costa Unified,Aspire Richmond Ca. College Preparatory Academy,3040 Hilltop Mall Road,3040 Hilltop Mall Rd.,Richmond,94806,CA,Contra Costa,"1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100",Oakland,94606,CA,37.978230,-122.32702
07617960132118,Active,West Contra Costa Unified,Aspire Richmond Technology Academy,3040 Hilltop Mall Road,3040 Hilltop Mall Rd.,Richmond,94806,CA,Contra Costa,"1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100",Oakland,94606,CA,37.978230,-122.32702
07617960132233,Active,West Contra Costa Unified,John Henry High,1402 Marina Way South,1402 Marina Way South,Richmond,94804-2411,CA,Contra Costa,345 125th Street,345 125th St.,Oakland,94607,CA,37.912765,-122.35488
07617960133637,Active,West Contra Costa Unified,Summit Public School: Tamalpais,3020 Hilltop Mall Road,3020 Hilltop Mall Rd.,Richmond,94806-1920,CA,Contra Costa,1800 Elm Street,1800 Elm St.,El Cerrito,94530,CA,37.977933,-122.32721
07617960730267,Closed,West Contra Costa Unified,Richmond Unified Alter. Ed.,2465 Dolan Way,2465 Dolan Way,San Pablo,94806,CA,Contra Costa,2465 Dolan Way,2465 Dolan Way,San Pablo,94806,CA,,
07617960730275,Closed,West Contra Costa Unified,North Campus Continuation,2465 Dolan Way,2465 Dolan Way,San Pablo,94806-1668,CA,Contra Costa,2465 Dolan Way,2465 Dolan Way,San Pablo,94806-1668,CA,37.993898,-122.32079
07617960730291,Active,West Contra Costa Unified,Middle College High,2600 Mission Bell Drive,2600 Mission Bell Dr.,San Pablo,94806-3195,CA,Contra Costa,2600 Mission Bell Drive,2600 Mission Bell Dr.,San Pablo,94806-3195,CA,37.968886,-122.34215
07617960730309,Closed,West Contra Costa Unified,North Campus (Cont.) High,2465 Dolan Way,2465 Dolan Way,San Pablo,94806,CA,Contra Costa,2465 Dolan Way,2465 Dolan Way,San Pablo,94806,CA,,
07617960730325,Active,West Contra Costa Unified,Vista High (Alternative),2625 Barnard Road,2625 Barnard Rd.,San Pablo,94806-2703,CA,Contra Costa,2625 Barnard Road,2625 Barnard Rd.,San Pablo,94806-2703,CA,37.968325,-122.32609
07617960730366,Closed,West Contra Costa Unified,Delta Continuation High,5000 Valley View Road,5000 Valley View Rd.,Richmond,94803-2599,CA,Contra Costa,5000 Valley View Road,5000 Valley View Rd.,Richmond,94803-2599,CA,,
07617960730374,Closed,West Contra Costa Unified,Kappa Continuation High,4300 Cutting Boulevard,4300 Cutting Blvd.,Richmond,94804-3399,CA,Contra Costa,4300 Cutting Boulevard,4300 Cutting Blvd.,Richmond,94804-3399,CA,37.925364,-122.32931
07617960730382,Closed,West Contra Costa Unified,Omega Continuation High,1250 23rd Street,1250 23rd St.,Richmond,94804-1091,CA,Contra Costa,1250 23rd Street,1250 23rd St.,Richmond,94804-1091,CA,37.951989,-122.34739
07617960730390,Closed,West Contra Costa Unified,Sigma Continuation High,2900 Pinole Valley Road,2900 Pinole Valley Rd.,Pinole,94564-1499,CA,Contra Costa,2900 Pinole Valley Road,2900 Pinole Valley Rd.,Pinole,94564-1499,CA,,
07617960730499,Closed,West Contra Costa Unified,Cameron Special Education,7140 Gladys Avenue,7140 Gladys Ave.,El Cerrito,94530-2499,CA,Contra Costa,7140 Gladys Avenue,7140 Gladys Ave.,El Cerrito,94530-2499,CA,,
07617960730523,Closed,West Contra Costa Unified,Transition Learning Center,2465 Dolan Way,2465 Dolan Way,San Pablo,94806-1644,CA,Contra Costa,2465 Dolan Way,2465 Dolan Way,San Pablo,94806-1644,CA,37.993434,-122.31913
07617960730580,Closed,West Contra Costa Unified,Alternative Education Learning Center Charter,7628 Potrero Avenue,7628 Potrero Ave.,El Cerrito,94530,CA,Contra Costa,PO Box 2961,PO Box 2961,El Cerrito,94802,CA,,
07617960730598,Active,West Contra Costa Unified,Hercules High,1900 Refugio Valley Road,1900 Refugio Valley Rd.,Hercules,94547-1554,CA,Contra Costa,1900 Refugio Valley Road,1900 Refugio Valley Rd.,Hercules,94547-1554,CA,37.999740,-122.25197
