zone,totpop,tothh,hhinc1,hhinc2,hhinc3,hhinc4,hhage1,hhage2,hhage3,hhage4,hhchild,hhnochild,hhsize1,hhsize2,hhsize3,hhsize4,hhsize5,description
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
154,1447,645,207,237,196,5,78,317,147,103,206,439,200,238,87,90,30,rural zone
155,1381,537,164,181,175,17,21,301,114,101,236,301,101,191,120,87,38,downtown zone
156,278,182,90,62,26,4,45,75,33,29,11,171,102,68,8,4,0,rural zone
157,28,16,4,10,2,0,0,7,4,5,1,15,6,9,0,1,0,downtown zone
158,74,40,10,27,3,0,1,14,10,15,4,36,14,22,1,2,1,rural zone
159,3,2,1,1,0,0,0,0,0,2,0,2,1,1,0,0,0,downtown zone
160,1120,491,162,189,128,12,8,182,143,158,132,359,121,231,55,48,36,rural zone
161,1488,638,169,289,163,17,10,237,157,234,179,459,164,265,83,85,41,downtown zone
162,3390,1155,231,555,348,21,75,619,337,124,549,606,148,362,230,247,168,rural zone
163,9,3,0,2,1,0,0,3,0,0,2,1,1,0,0,2,0,downtown zone
164,16,11,11,0,0,0,0,4,7,0,1,10,6,5,0,0,0,rural zone
165,552,216,37,96,81,2,7,76,99,34,52,164,33,84,61,22,16,downtown zone
166,284,108,15,43,50,0,1,42,50,15,35,73,17,38,27,20,6,rural zone
167,1531,558,159,296,96,7,38,280,176,64,248,310,113,155,112,118,60,downtown zone
168,2170,785,289,377,113,6,109,447,135,94,368,417,118,278,143,163,83,rural zone
169,590,251,76,166,9,0,11,123,61,56,71,180,81,81,36,26,27,downtown zone
170,992,385,124,214,43,4,21,172,106,86,123,262,92,136,53,51,53,rural zone
171,110,42,12,24,6,0,0,20,12,10,14,28,7,20,3,6,6,downtown zone
172,210,88,10,42,26,10,3,25,45,15,28,60,19,39,14,9,7,rural zone
173,1865,740,161,318,247,14,76,314,222,128,251,489,140,293,139,118,50,downtown zone
174,975,402,201,155,46,0,68,196,72,66,177,225,81,152,119,17,33,rural zone
175,695,262,66,131,65,0,5,152,27,78,89,173,35,126,24,49,28,downtown zone
176,370,167,60,60,45,2,7,66,46,48,29,138,50,70,21,13,13,rural zone
177,715,241,46,120,64,11,1,119,82,39,105,136,17,93,42,59,30,downtown zone
178,9,9,9,0,0,0,1,2,6,0,0,9,9,0,0,0,0,rural zone
179,421,177,16,63,64,34,1,98,46,32,59,118,33,84,31,18,11,downtown zone
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
182,1567,725,190,269,225,41,0,324,150,251,215,510,274,238,69,110,34,rural zone
183,1415,555,143,213,188,11,15,313,145,82,218,337,130,176,106,100,43,downtown zone
184,713,315,31,111,97,76,12,109,96,98,66,249,69,153,58,11,24,rural zone
185,1469,749,314,340,77,18,90,364,151,144,152,597,349,204,100,68,28,downtown zone
186,890,440,168,182,83,7,58,287,44,51,113,327,157,180,48,46,9,rural zone
187,51,34,22,12,0,0,2,11,9,12,3,31,23,8,1,1,1,downtown zone
188,60,21,0,19,2,0,0,8,6,7,7,14,8,0,0,13,0,rural zone
189,1217,414,46,177,188,3,0,244,94,76,193,221,43,164,62,65,80,downtown zone
