"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","hhlds","gqpop"
56,2,2,1,50,110,110,42,23,14,5,15,7,23,250,2,157,0.918181818181818,3738,2,8,22,22,56,0,197,3539,0,0,2,0,0,3,0,0,0,1.63626,1,0,50,0
57,2,2,1,946,2440,2440,1310,810,232,77,119,187,563,137,80,3,0.276613234689684,272,112,456,561,736,575,0,36,221,0,10,5,0,0,3,0,0,0,1.47141,1,0,946,0
58,2,2,1,2455,5458,5513,3030,416,2315,687,470,649,649,104,54,11,0.235807860262009,815,219,564,2278,1339,1113,46,70,647,0,30,22,0,0,3,10,0,0,2.94951,1,0,2455,54
59,2,2,1,3179,7917,7938,4891,1398,1994,699,669,718,1093,200,110,21,0.236416477129138,1126,320,945,3037,2092,1544,18,124,825,0,69,90,0,0,3,2054,0,0,2.44767,1,0,3179,21
60,2,2,1,1567,3829,3835,2163,690,1038,314,438,301,514,87,55,2,0.255558461940884,812,131,443,1454,988,819,10,22,770,0,1,9,0,0,2,0,0,0,2.3279,1,0,1567,6
61,2,2,1,1883,4448,4448,2835,552,1608,493,369,467,554,90,54,4,0.218714768883878,1224,187,454,1981,1027,799,26,749,436,0,2,11,0,0,2,0,0,0,2.59544,1,0,1883,0
62,2,2,1,3225,7395,7408,3870,862,2663,741,581,813,1090,158,80,11,0.208502572434335,1450,352,908,3053,1783,1312,155,174,1001,0,42,78,0,0,2,0,0,0,2.87229,2,0,3225,13
63,2,2,1,2169,5302,5318,3274,799,1834,337,328,633,871,129,71,5,0.239909468125236,865,251,614,2065,1304,1084,90,129,566,0,4,76,0,0,2,19,0,0,2.52473,1,0,2169,16
64,2,2,1,2863,6779,6793,4356,716,2226,641,430,526,1266,146,80,6,0.204045474678872,691,271,744,2990,1615,1173,131,82,421,0,9,48,0,0,2,0,0,0,4.09685,2,0,2863,14
65,2,2,1,2442,5485,5556,3425,710,1892,299,644,464,1035,136,56,14,0.202202563639646,1584,225,640,2440,1309,942,281,299,850,2,28,124,0,0,2,0,0,0,3.6323,2,0,2442,71
