TAZ,PUMA,COUNTY,county_name,REGION
417,8503,3,Santa Clara,1
418,8502,3,Santa Clara,1
419,8502,3,Santa Clara,1
420,8502,3,Santa Clara,1
421,8502,3,Santa Clara,1
422,8502,3,Santa Clara,1
423,8502,3,Santa Clara,1
424,8502,3,Santa Clara,1
425,8502,3,Santa Clara,1
426,8502,3,Santa Clara,1
427,8502,3,Santa Clara,1
428,8502,3,Santa Clara,1
429,8503,3,Santa Clara,1
430,8503,3,Santa Clara,1
431,8503,3,Santa Clara,1
432,8503,3,Santa Clara,1
433,8503,3,Santa Clara,1
434,8509,3,Santa Clara,1
435,8509,3,Santa Clara,1
436,8503,3,Santa Clara,1
437,8503,3,Santa Clara,1
438,8503,3,Santa Clara,1
439,8503,3,Santa Clara,1
440,8503,3,Santa Clara,1
441,8503,3,Santa Clara,1
442,8503,3,Santa Clara,1
443,8503,3,Santa Clara,1
444,8503,3,Santa Clara,1
445,8502,3,Santa Clara,1
446,8502,3,Santa Clara,1
447,8502,3,Santa Clara,1
448,8502,3,Santa Clara,1
449,8502,3,Santa Clara,1
450,8502,3,Santa Clara,1
451,8502,3,Santa Clara,1
452,8502,3,Santa Clara,1
453,8502,3,Santa Clara,1
454,8502,3,Santa Clara,1
455,8502,3,Santa Clara,1
456,8502,3,Santa Clara,1
457,8502,3,Santa Clara,1
458,8502,3,Santa Clara,1
459,8502,3,Santa Clara,1
460,8507,3,Santa Clara,1
461,8503,3,Santa Clara,1
462,8503,3,Santa Clara,1
463,8503,3,Santa Clara,1
464,8503,3,Santa Clara,1
465,8503,3,Santa Clara,1
466,8503,3,Santa Clara,1
467,8508,3,Santa Clara,1
468,8508,3,Santa Clara,1
469,8508,3,Santa Clara,1
470,8508,3,Santa Clara,1
471,8508,3,Santa Clara,1
472,8508,3,Santa Clara,1
473,8508,3,Santa Clara,1
474,8508,3,Santa Clara,1
475,8508,3,Santa Clara,1
476,8508,3,Santa Clara,1
477,8508,3,Santa Clara,1
478,8508,3,Santa Clara,1
479,8507,3,Santa Clara,1
480,8508,3,Santa Clara,1
481,8508,3,Santa Clara,1
482,8508,3,Santa Clara,1
483,8508,3,Santa Clara,1
484,8507,3,Santa Clara,1
485,8507,3,Santa Clara,1
486,8507,3,Santa Clara,1
487,8507,3,Santa Clara,1
488,8507,3,Santa Clara,1
489,8507,3,Santa Clara,1
490,8507,3,Santa Clara,1
491,8507,3,Santa Clara,1
492,8507,3,Santa Clara,1
