ZONE,RES_UNITS,TOTHH,TOTEMP
852,2180,2101,312
853,2138,2020,3457
854,2377,2224,297
855,1770,1653,284
856,2554,2407,990
857,1093,1020,1184
858,2164,2054,1298
859,1423,1373,189
860,2283,2190,4813
861,2265,2178,1577
862,2843,2730,4331
863,1338,1291,2475
864,3511,3181,2545
865,1451,1387,379
866,1497,1425,610
867,1113,1044,267
868,1423,1367,478
869,1845,1738,622
870,1691,1586,1246
871,2958,2761,3821
872,2983,2860,2448
873,1950,1846,10064
874,0,0,3931
875,1095,1008,15573
876,640,577,67
877,972,838,219
878,1641,1488,844
879,1271,1157,262
880,1122,967,168
881,1185,1057,90
882,1098,965,431
883,1213,1168,1285
884,1415,1373,315
885,2707,2537,772
886,1807,1630,449
887,1308,1144,268
888,1694,1434,233
889,1278,1083,146
890,1728,1533,330
891,1509,1353,187
892,1136,991,1174
893,1009,797,712
894,1131,1009,4007
895,1999,1748,1528
896,802,729,2647
897,1191,1086,411
898,1383,1195,379
899,2503,2251,427
900,1820,1636,662
901,1875,1687,115
902,806,734,120
903,1836,1721,172
904,2256,2027,221
905,2481,2274,274
906,2233,2005,727
907,1198,1105,968
908,1560,1488,246
909,1452,1370,174
910,2335,2218,767
911,1061,999,801
912,1867,1800,264
913,2548,2443,1399
914,2391,2279,175
915,1548,1470,454
916,1641,1509,1473
917,2222,2138,731
918,2178,2105,841
919,721,699,78
920,825,810,306
921,1288,1216,438
922,2042,1872,542
923,2769,2561,618
924,2115,1953,458
925,1906,1751,1153
926,1612,1454,3693
927,1405,1293,852
928,1521,1301,284
929,1323,1211,314
930,789,710,789
931,1439,1279,135
932,1385,1226,141
933,2192,1954,369
934,3550,3153,871
935,1632,1478,199
936,1504,1347,104
937,1620,1471,397
938,1622,1574,187
939,2017,1897,1241
940,2278,2085,538
941,3004,2786,326
942,3105,2760,1262
943,2706,2491,295
944,2601,2343,576
945,3962,3584,13030
946,2236,2054,6685
947,1640,1492,9469
948,1767,1629,1206
949,1469,1391,645
950,2056,1950,980
951,2762,2615,1211
952,2536,2437,4821
953,2728,2661,704
954,2014,1863,2249
955,1429,1329,1732
956,2231,2096,1180
957,1599,1471,953
958,1598,1508,131
959,2139,1995,379
960,2163,2037,3775
961,1248,924,1803
962,1884,1716,411
963,2434,2257,1013
964,294,244,671
965,284,239,1132
966,37,33,980
967,404,287,6417
968,1419,1191,7708
969,1008,935,14332
970,2523,2175,4033
971,508,476,17114
972,3817,3520,2410
973,1668,1560,8707
974,3094,2848,1919
975,1173,1108,416
976,2114,1976,2105
977,2942,2577,3555
978,1750,1387,339
979,1701,1493,5313
980,515,450,81
981,437,421,240
982,709,636,1037
983,1168,1028,144
984,180,151,356
985,768,697,278
986,730,632,213
987,800,637,217
988,1310,1033,3011
989,921,767,1015
990,1239,935,305
