ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
59,2,2,1,3177,7749,7825,4164,1494,1916,717,967,775,718,200,110,21,0.225,1010,330,946,2880,2336,1333,96,137,532,221,0,24,0,0,3,2953.62036,0,0,1,2.25407,0,3177,59,76
60,2,2,1,1580,3913,3914,2119,731,949,363,483,360,374,87,55,2,0.222,209,186,456,1527,1081,664,44,37,84,26,3,15,0,0,2,0,0,0,1,2.23391,0,1580,60,1
61,2,2,1,1931,4505,4508,2338,470,1559,587,605,384,355,90,54,4,0.228,991,200,541,1767,1208,792,82,65,281,556,0,7,0,0,2,0,0,0,1,2.96551,0,1931,61,3
62,2,2,1,3277,7393,7400,4016,516,2907,749,980,757,791,158,80,11,0.195,1285,372,839,2980,2148,1061,207,253,490,287,1,47,0,0,2,0,0,0,2,2.89994,0,3277,62,7
63,2,2,1,2224,5288,5295,2867,740,1608,500,657,552,515,129,71,5,0.209,786,267,606,2053,1544,825,114,180,353,116,0,23,0,0,2,0,0,0,1,2.53772,0,2224,63,7
64,2,2,1,2844,6767,6777,3524,712,2279,792,837,511,704,146,80,6,0.199,1409,299,837,2799,1829,1013,208,231,244,693,0,33,0,0,2,0,0,0,2,2.95387,0,2844,64,10
65,2,2,1,2465,5450,5476,3011,387,2189,556,778,481,650,136,56,14,0.179,1387,308,568,2395,1490,715,264,330,500,234,0,59,0,0,2,0,0,0,2,3.09128,0,2465,65,26
66,2,2,1,1954,4231,4313,2333,334,1691,566,504,422,462,105,49,15,0.192,1274,190,474,1879,1153,617,258,150,646,99,0,121,0,0,2,0,0,0,2,2.90913,0,1954,66,82
67,2,2,1,2206,5152,5161,2833,503,1795,542,700,432,532,96,53,7.07364,0.174,282,232,593,2305,1376,655,85,95,50,39,1,12,0,0,2,0,0,0,2,2.57413,0,2206,67,9
68,2,2,1,1382,2973,2984,1759,270,1136,370,377,255,380,72,34,4,0.164,551,110,240,1545,731,358,68,66,310,88,0,19,0,0,3,0,0,0,1,2.86826,0,1382,68,11
